"Name","Elected"
"Marcus Flowers",FALSE
"Jeff Fortenberry",FALSE
"Bill Foster",TRUE
"Virginia Foxx",TRUE
"Mike France",FALSE
"Lois Frankel",TRUE
"Scott Franklin",TRUE
"Dan Franzese",FALSE
"Michael French",FALSE
"Randy Friese",FALSE
"Russ Fulcher",TRUE
"Matt Fyfe",FALSE
"Matt Gaetz",TRUE
"Sean Gale",FALSE
"Mike Gallagher",TRUE
"Stephanie Gallardo",FALSE
"Ruben Gallego",TRUE
"David Galluch",FALSE
"Mark Gamba",FALSE
"John Garamendi",TRUE
"Andrew Garbarino",TRUE
"Eric Garcia",FALSE
"Jesus Garcia",FALSE
"Mike Garcia",TRUE
"Sylvia Garcia",TRUE
"Alia Garcia-Ureste",FALSE
"Mauro Garza",FALSE
"Eric Gash",FALSE
"Derrick Gates",FALSE
"Charles Gearing",FALSE
"Adam Gentle",FALSE
"Mike Gibbons",FALSE
"Bob Gibbs",FALSE
"David Giglio",FALSE
"Hank Gilbert",FALSE
"Dave Giles",FALSE
"Carlos Gimenez",FALSE
"Maebe Girl",FALSE
"Sarah Godlewski",FALSE
"Louis Gohmert",FALSE
"Jared Golden",TRUE
"Jimmy Gomez",TRUE
"Tony Gonzales",TRUE
"Anthony Gonzalez",FALSE
"Jenniffer Gonzalez",FALSE
"Vicente Gonzalez",TRUE
"Bob Good",TRUE
"Lance Gooden",TRUE
"Laverne Gore",FALSE
"Jeff Gorman",FALSE
"Meg Gorman",FALSE
"Paul Gosar",TRUE
"Josh Gottheimer",TRUE
"Kay Granger",TRUE
"Steven Grant",FALSE
"Chuck Grassley",TRUE
"Garret Graves",TRUE
"Sam Graves",TRUE
"Chuck Gray",FALSE
"Alan Grayson",FALSE
"Al Green",TRUE
"Mark Green",TRUE
"Joan Greene",FALSE
"Marjorie Greene",TRUE
"Jeff Gregory",FALSE
"Eric Greitens",FALSE
"Morgan Griffith",TRUE
"Benjamin Griffiths",FALSE
"Joyce Griggs",FALSE
"Raul Grijalva",TRUE
"Glenn Grothman",TRUE
"Michael Guest",TRUE
"Brett Guthrie",TRUE
"Jim Hagedorn",FALSE
"Julie Hall",FALSE
"Benine Hamdan",FALSE
"Jane Hamilton",FALSE
"Tamika Hamilton",FALSE
"Wendy Hamilton",FALSE
"Mary Hanusa",FALSE
"Dave Harden",FALSE
"Josh Harder",TRUE
"Omari Hardy",FALSE
"Kenneth Harper",FALSE
"Andy Harris",TRUE
"Brian Harrison",FALSE
"Diana Harshbarger",TRUE
"Vicky Hartzler",FALSE
"Maggie Hassan",TRUE
"Danielle Hawk",FALSE
"Jahana Hayes",TRUE
"Lauren Hays",FALSE
"Elizabeth Heng",FALSE
"Brent Hennrich",FALSE
"Kevin Hern",TRUE
"Daniel Hernandez",FALSE
"Yvette Herrell",FALSE
"Wade Herring",FALSE
"Brian Higgins",TRUE
"Clay Higgins",TRUE
"French Hill",TRUE
"Jim Himes",TRUE
"Bo Hines",FALSE
"Ashley Hinson",TRUE
"Matt Hinterlong",FALSE
"Jevin Hodge",FALSE
"John Hoeven",TRUE
"Jason Holic",FALSE
"Trey Hollingsworth",FALSE
"Dale Holness",FALSE
"Ron Hood",FALSE
"Steven Horsford",TRUE
"Chrissy Houlahan",TRUE
"Stephen Houlahan",FALSE
"Eugene Howard",FALSE
"Steny Hoyer",TRUE
"Muad Hrezi",FALSE
"Lourin Hubbard",FALSE
"Peggy Hubbard",FALSE
"Richard Hudson",TRUE
"Jared Huffman",TRUE
"Scott Huffman",FALSE
"Bill Huizenga",TRUE
"Jonathan Hullihan",FALSE
"Alexandra Hunt",FALSE
"Trey Hunt",FALSE
"Muzib Huq",FALSE
"Tom Hwang",FALSE
"Martin Hyde",FALSE
"Robert Hyde",FALSE
"Laurel Imer",FALSE
"Darrell Issa",TRUE
"Sheila Lee",TRUE
"Jeff Jackson",TRUE
"Natalie Jackson",FALSE
"Ronny Jackson",TRUE
"Chris Jacobs",FALSE
"Matt Jacobs",FALSE
"Sara Jacobs",TRUE
"Isiah James",FALSE
"Pramila Jayapal",TRUE
"Brian Jaye",FALSE
"Bobby Jeffries",FALSE
"Hakeem Jeffries",TRUE
"Jonathan Jenkins",FALSE
"Harold John",FALSE
"Alden Johnson",FALSE
"Audra Johnson",FALSE
"Bill Johnson",TRUE
"Dusty Johnson",TRUE
"Eddie Johnson",FALSE
"Hank Johnson",TRUE
"Jeff Johnson",FALSE
"Liz Johnson",FALSE
"Mike Johnson",TRUE
"Ron Johnson",TRUE
"Travis Johnson",FALSE
"Tamara Johnson-Shealey",FALSE
"Lateresa Jones",FALSE
"Mondaire Jones",FALSE
"Jim Jordan",TRUE
"Elizabeth Joy",FALSE
"David Joyce",TRUE
"John Joyce",TRUE
"Kai Kahele",FALSE
"Marcy Kaptur",TRUE
"John Katko",FALSE
"Bill Keating",TRUE
"Pam Keith",FALSE
"Fred Keller",FALSE
"Brenden Kelley",FALSE
"Jewel Kelly",FALSE
"Mark Kelly",TRUE
"Mike Kelly",TRUE
"Odessa Kelly",FALSE
"Robin Kelly",TRUE
"Trent Kelly",TRUE
"Rebecca Keltie",FALSE
"Bob Kennedy",FALSE
"Brynne Kennedy",FALSE
"John Kennedy",TRUE
"Ronda Kennedy",FALSE
"Joe Kent",FALSE
"Malcolm Kenyatta",FALSE
"Haneefah Khaaliq",FALSE
"Alex Khalil",FALSE
"Ro Khanna",TRUE
"Jen Kiggans",TRUE
"Dan Kildee",TRUE
"Derek Kilmer",TRUE
"Heather Kilpatrick",FALSE
"Andy Kim",TRUE
"Sery Kim",FALSE
"Young Kim",TRUE
"Ron Kind",FALSE
"Esther King",FALSE
"Kelvin King",FALSE
"Craig Kinsey",FALSE
"Adam Kinzinger",FALSE
"Tyler Kistner",FALSE
"Brad Klippert",FALSE
"Lonny Koons",FALSE
"Robert Kovic",FALSE
"Elizabeth Kreiselmaier",FALSE
"Raja Krishnamoorthi",TRUE
"Neil Kumar",FALSE
"Rishi Kumar",FALSE
"Lucas Kunce",FALSE
"Stephanie Kunze",FALSE
"Ann Kuster",TRUE
"David Kustoff",TRUE
"Tobias Lagrone",FALSE
"Jackson Lahmeyer",FALSE
"Darin LaHood",TRUE
"Doug LaMalfa",TRUE
"Conor Lamb",FALSE
"Douglas Lamborn",TRUE
"Jim Lamon",FALSE
"Bob Lancia",FALSE
"Jim Langevin",FALSE
"James Lankford",TRUE
"Jeff Lare",FALSE
"Matt Larkin",FALSE
"Rick Larsen",TRUE
"John Larson",TRUE
"Alex Lasry",FALSE
"Shawn Lassiter",FALSE
"Bob Latta",TRUE
"Jake Laturner",FALSE
"Catalina Lauf",FALSE
"Lucy Lauser",FALSE
"Brenda Lawrence",FALSE
"Rogelio Lawsin",FALSE
"Al Lawson",FALSE
"Larry Lazor",FALSE
"Patrick Leahy",FALSE
"JD Leathers",FALSE
"Barbara Lee",TRUE
"Denton Lee",FALSE
"Mike Lee",TRUE
"Susie Lee",TRUE
"Tyler Lee",FALSE
"Andrew Legnani",FALSE
"Debbie Lesko",TRUE
"Julia Letlow",TRUE
"Andy Levin",FALSE
"Mike Levin",TRUE
"Ted Lieu",TRUE
"Jeremy Liggett",FALSE
"John Lira",FALSE
"Greg Lirette",FALSE
"Mark Littles",FALSE
"Zoe Lofgren",TRUE
"Heath Loftis",FALSE
"Jack Lombardi",FALSE
"Billy Long",FALSE
"Laura Loomer",FALSE
"Luna Lopez",FALSE
"Roland Lopez",FALSE
"Barry Loudermilk",TRUE
"Georgene Louis",FALSE
"Kimberly Lowe",FALSE
"Alan Lowenthal",FALSE
"Frank Lucas",TRUE
"Robert Lucero",FALSE
"Blaine Luetkemeyer",TRUE
"Ruth Luevanos",FALSE
"Anna Luna",TRUE
"Elaine Luria",FALSE
"Stephen Lynch",TRUE
"Eric Lynn",FALSE
"Nancy Mace",TRUE
"J Majewski",FALSE
"Tom Malinowski",FALSE
"Nicole Malliotakis",TRUE
"Carolyn Maloney",FALSE
"Sean Maloney",FALSE
"Ram Mammadov",FALSE
"Josh Mandel",FALSE
"Tracey Mann",TRUE
"Chris Manning",FALSE
"Kathy Manning",TRUE
"Gabi Manolache",FALSE
"Derek Marshall",FALSE
"Henry Martin",FALSE
"Melissa Martz",FALSE
"Brian Maryott",FALSE
"Jessica Mason",FALSE
"Thomas Massie",TRUE
"Brian Mast",TRUE
"Catherine Masto",TRUE
"Chris Mathys",FALSE
"Doris Matsui",TRUE
"Krystle Matthews",FALSE
"Darius Mayfield",FALSE
"Lucy McBath",TRUE
"Mark McBride",FALSE
"Kevin McCarthy",TRUE
"Michael McCaul",TRUE
"Lisa McClain",TRUE
"Tom McClintock",TRUE
"Mark McCloskey",FALSE
"Betty McCollum",TRUE
"Ike McCorkle",FALSE
"Holly McCormack",FALSE
"Richard McCormick",TRUE
"Pat McCrory",FALSE
"Donald McEachin",TRUE
"Randi McGinn",FALSE
"James McGovern",TRUE
"John Mcguigan",FALSE
"Patrick McHenry",TRUE
"David McKinley",FALSE
"Quincy McKnight",FALSE
"Marc McMain",FALSE
"Jerry McNerney",FALSE
"Matthew Meade",FALSE
"Gregory Meeks",TRUE
"Rikin Mehta",FALSE
"Peter Meijer",FALSE
"Grace Meng",TRUE
"Dan Meuser",TRUE
"Kweisi Mfume",TRUE
"Luis Miguel",FALSE
"Carol Miller",TRUE
"Mary Miller",TRUE
"Max Miller",TRUE
"Stephen Miller",FALSE
"Mariannette Miller-Meeks",TRUE
"Cory Mills",TRUE
"Dennis Misigoy",FALSE
"Nicholas Mitchell",FALSE
"Heather Mizeur",FALSE
"Willie Montague",FALSE
"John Moolenaar",TRUE
"Alex Mooney",TRUE
"Barry Moore",TRUE
"Blake Moore",TRUE
"Gwen Moore",TRUE
"John Moore",FALSE
"Mark Moores",FALSE
"Jerry Moran",TRUE
"Elizabeth Moreira",FALSE
"Joseph Morelle",TRUE
"Bernie Moreno",FALSE
"Jan Morgan",FALSE
"Brandon Mosely",FALSE
"Patrick Moses",FALSE
"Seth Moulton",TRUE
"Frank Mrvan",TRUE
"Moses Mugulusi",FALSE
"Dave Muhlbauer",FALSE
"Douglas Mullenix",FALSE
"Markwayne Mullin",TRUE
"Lisa Murkowski",FALSE
"Greg Murphy",TRUE
"Stephanie Murphy",FALSE
"Patty Murray",TRUE
"Michael Muscato",FALSE
"Greg Musselwhite",FALSE
"Jerrold Nadler",TRUE
"Johnny Nalbandian",FALSE
"Bardia Namdarkhan",FALSE
"Grace Napolitano",TRUE
"Stewart Navarre",FALSE
"Rhoda Nazanin",FALSE
"Richard Neal",TRUE
"Joseph Neguse",TRUE
"Troy Nehls",TRUE
"Tom Nelson",FALSE
"Wendy Nevarez",FALSE
"Dan Newhouse",TRUE
"Marie Newman",FALSE
"Rett Newton",FALSE
"Beatrice Nichols",FALSE
"Josh Nicoloff",FALSE
"Don Norcross",TRUE
"Ralph Norman",TRUE
"Eleanor Norton",TRUE
"Tom Norton",FALSE
"Devin Nunes",FALSE
"Danny O'Connor",FALSE
"Tom O'Halleran",FALSE
"Jay Obernolte",TRUE
"Alexandria Ocasio-Cortez",TRUE
"Steven Olikara",FALSE
"Christine Olivo",FALSE
"William Olson",FALSE
"Ilhan Omar",TRUE
"Desiree Ontiveros",FALSE
"Ernest Oppegaard-Peltier",FALSE
"Sergio Ortiz",FALSE
"Bryan Osorio",FALSE
"Burgess Owens",TRUE
"Alex Padilla",TRUE
"Justin Paglino",FALSE
"Steven Palazzo",FALSE
"Frank Pallone",TRUE
"Frank Pallotta",FALSE
"David Palmer",FALSE
"Gary Palmer",TRUE
"Jimmy Panetta",TRUE
"Chris Pappas",TRUE
"Kevin Parker",FALSE
"Sean Parnell",FALSE
"Madeline Parra",FALSE
"Nicole Parra",FALSE
"Neil Parrott",FALSE
"Bill Pascrell",TRUE
"Neil Patel",FALSE
"Suraj Patel",FALSE
"Rand Paul",TRUE
"Robert Paveza",FALSE
"Donald Payne",FALSE
"Nancy Pelosi",TRUE
"Greg Pence",TRUE
"Demetrick Pennie",FALSE
"Clay Percle",FALSE
"Jo Perkins",FALSE
"Ed Perlmutter",FALSE
"Scott Perry",TRUE
"Sam Peters",FALSE
"Scott Peters",TRUE
"Bob Peterson",FALSE
"Karen Peterson",FALSE
"August Pfluger",TRUE
"Dean Phillips",TRUE
"Chellie Pingree",TRUE
"Lynz Piper-Loomis",FALSE
"Antonio Pitocco",FALSE
"Stacey Plaskett",TRUE
"Mark Pocan",TRUE
"Katie Porter",TRUE
"Bill Posey",TRUE
"Chris Preece",FALSE
"Ayanna Pressley",TRUE
"David Price",FALSE
"Reinier Prijten",FALSE
"Mark Pukita",FALSE
"Mike Quigley",TRUE
"Patrick Quinn",FALSE
"Raji Rab",FALSE
"Amata Radewagen",TRUE
"Lily Ramcharran",FALSE
"Brittany Debarros",FALSE
"Jamie Raskin",TRUE
"Steve Reichert",FALSE
"Josh Remillard",FALSE
"Guy Reschenthaler",TRUE
"Kimberly Reuter",FALSE
"Victor Reyes",FALSE
"Aarika Rhodes",FALSE
"Kellie Rhodes",FALSE
"Kathleen Rice",FALSE
"Tom Rice",FALSE
"Ken Richardson",FALSE
"Francisco Rios",FALSE
"Mark Robertson",FALSE
"Jon Rocha",FALSE
"Lisa Rochester",TRUE
"Cathy Rodgers",TRUE
"Austin Rodill",FALSE
"Dan Rodimer",FALSE
"Christopher Rodriguez",FALSE
"Hal Rogers",TRUE
"Mike Rogers",TRUE
"John Rose",TRUE
"Matt Rosendale",TRUE
"Deborah Ross",TRUE
"Harley Rouda",FALSE
"David Rouzer",TRUE
"Chip Roy",TRUE
"Patricia Caballero",FALSE
"Lucille Roybal-Allard",FALSE
"Marco Rubio",TRUE
"Raul Ruiz",TRUE
"Dutch Ruppersberger",TRUE
"Bobby Rush",FALSE
"Carolyn Rush",FALSE
"David Russ",FALSE
"Allison Russo",FALSE
"John Rutherford",TRUE
"Tim Ryan",FALSE
"Anthony Sabatini",FALSE
"Gregorio Sablan",TRUE
"Latham Saddler",FALSE
"Girien Salazar",FALSE
"Maria Salazar",TRUE
"Michael Nicolas",FALSE
"Jana Sanchez",FALSE
"Linda Sanchez",FALSE
"Sol Sandoval",FALSE
"Nate Sandvig",FALSE
"John Sarbanes",TRUE
"Diane Sare",FALSE
"Steve Scalise",TRUE
"Mary Scanlon",TRUE
"Jeremiah Schaffer",FALSE
"Jan Schakowsky",TRUE
"Brian Schatz",TRUE
"Adam Schiff",TRUE
"Colin Schmitt",FALSE
"Eric Schmitt",TRUE
"Brad Schneider",TRUE
"Jan Schneider",FALSE
"Kurt Schrader",FALSE
"Kim Schrier",TRUE
"Debbie Schultz",TRUE
"Jonah Schulz",FALSE
"Charles Schumer",TRUE
"David Schweikert",TRUE
"Austin Scott",TRUE
"Bobby Scott",TRUE
"David Scott",TRUE
"Ezra Scott",FALSE
"Tim Scott",TRUE
"Antoinette Lopez",FALSE
"Marissa Selvig",FALSE
"Pete Sessions",TRUE
"Jerrod Sessler",FALSE
"Terri Sewell",TRUE
"Barbara Sharief",FALSE
"Alaina Shearer",FALSE
"Timothy Shepard",FALSE
"Brad Sherman",TRUE
"Mikie Sherrill",TRUE
"Ashmi Sheth",FALSE
"Scott Sifton",FALSE
"Mike Simpson",TRUE
"Albio Sires",FALSE
"Michael Sisco",FALSE
"Jeffrey Sites",FALSE
"Alek Skarlatos",FALSE
"Nick Sleister",FALSE
"Elissa Slotkin",TRUE
"Tiffany Smiley",FALSE
"Adam Smith",TRUE
"Adrian Smith",TRUE
"Aja Smith",FALSE
"Chris Smith",TRUE
"Christy Smith",FALSE
"Darin Smith",FALSE
"Erica Smith",FALSE
"Gina Smith",FALSE
"Gregg Smith",FALSE
"Jason Smith",TRUE
"Michelle Smith",FALSE
"Sancha Smith",FALSE
"Sandy Smith",FALSE
"Shirley Smith",FALSE
"Wesley Smith",FALSE
"Lloyd Smucker",TRUE
"Jerry Solis",FALSE
"Gavriel Soriano",FALSE
"Jeff Sossa-Paquette",FALSE
"Darren Soto",TRUE
"Carla Spalding",FALSE
"Abigail Spanberger",TRUE
"Victoria Spartz",TRUE
"Jackie Speier",FALSE
"Lavern Spicer",FALSE
"Heidi John",FALSE
"Judith Stahl",FALSE
"Melanie Stansbury",TRUE
"Greg Stanton",TRUE
"Baxter Stapleton",FALSE
"Pete Stauber",TRUE
"Michelle Steel",TRUE
"Michael Steele",FALSE
"Elise Stefanik",TRUE
"Bryan Steil",TRUE
"John Stephens",FALSE
"Everett Stern",FALSE
"Greg Steube",TRUE
"Haley Stevens",TRUE
"Brian Stewart",FALSE
"Chris Stewart",TRUE
"Alex Stovall",FALSE
"Sharif Street",FALSE
"Marilyn Strickland",TRUE
"Dale Strong",TRUE
"Scott Sturm",FALSE
"Tom Suozzi",FALSE
"Kevin Surdi",FALSE
"Darlene Swaffar",FALSE
"Eric Swalwell",TRUE
"Michael Swanson",FALSE
"Mark Takano",TRUE
"Greg Tanaka",FALSE
"Omar Tarazi",FALSE
"Hector Tavarez",FALSE
"Priscilla Taylor",FALSE
"Richard Taylor",FALSE
"Tracy Taylor",FALSE
"Van Taylor",FALSE
"Claudia Tenney",TRUE
"Michael Maat",FALSE
"Bennie Thompson",TRUE
"Glenn Thompson",TRUE
"MacKenzie Thompson",FALSE
"Michael Thompson",TRUE
"Mike Thompson",TRUE
"John Thune",TRUE
"Perry Thurston",FALSE
"Tom Tiffany",TRUE
"Jane Timken",FALSE
"William Timmons",TRUE
"Dina Titus",TRUE
"Rashida Tlaib",TRUE
"Spencer Toder",FALSE
"Paul Tonko",TRUE
"Leah Toomim",FALSE
"David Torres",FALSE
"Norma Torres",TRUE
"Ritchie Torres",TRUE
"Gilead Towne",FALSE
"Lori Trahan",TRUE
"Brittany Trambauer-Smith",FALSE
"David Trone",TRUE
"Kelly Tshibaka",FALSE
"Michael Turner",TRUE
"Nina Turner",FALSE
"Lauren Underwood",TRUE
"Fred Upton",FALSE
"Marcos Urrea",FALSE
"David Valadao",FALSE
"Donald Valdez",FALSE
"Rich Dam",FALSE
"Jeff Drew",TRUE
"Beth Duyne",TRUE
"Chris Hollen",TRUE
"Jacob VandenPlas",FALSE
"Juan Vargas",TRUE
"Marc Veasey",TRUE
"Nydia Velazquez",FALSE
"Amy Vilela",FALSE
"Lucie Volotzky",FALSE
"Ann Wagner",TRUE
"Tim Walberg",TRUE
"Kimberly Walker",FALSE
"Jackie Walorski",FALSE
"Michael Waltz",TRUE
"Casey Wardynski",FALSE
"Raphael Warnock",FALSE
"Allen Waters",FALSE
"Maxine Waters",TRUE
"Richard Watkins",FALSE
"Randy Weber",TRUE
"Daniel Webster",TRUE
"Joshua Weil",FALSE
"Peter Welch",TRUE
"Eric Welsh",FALSE
"Brad Wenstrup",TRUE
"Bruce Westerman",TRUE
"Jennifer Wexton",TRUE
"Philanise White",FALSE
"Daniel Whitfield",FALSE
"Susan Wild",TRUE
"Colin Wilhelm",FALSE
"Mckayla Wilkes",FALSE
"Marsha Williams",FALSE
"Nikema Williams",TRUE
"Roger Williams",TRUE
"Frederica Wilson",TRUE
"Joe Wilson",TRUE
"Claire Wirth",FALSE
"Rob Wittman",TRUE
"Steve Womack",TRUE
"Marisa Wood",FALSE
"Michael Wood",FALSE
"Susan Wright",FALSE
"Ron Wyden",TRUE
"Wadi Yakhour",FALSE
"John Yarmuth",FALSE
"Don Young",FALSE
"Rubin Young",FALSE
"Todd Young",TRUE
"Peter Yu",FALSE
"Lily Zhou",FALSE
"Marina Zimmerman",FALSE
"Jeff Zink",FALSE
"Ryan Zinke",TRUE
