"","Contributor","Total","PACs","Individuals","Senator"
"35","Duke Energy","$10500","$10000","$500","Alma Adams"
"36","Truist Financial","$10500","$10000","$500","Alma Adams"
"37","American Federation of State/Cnty/Munic Employees","$10000","$10000","$0","Alma Adams"
"38","American Federation of Teachers","$10000","$10000","$0","Alma Adams"
"39","American Postal Workers Union","$10000","$10000","$0","Alma Adams"
"40","AT&T Inc","$10000","$10000","$0","Alma Adams"
"41","Home Depot","$10000","$10000","$0","Alma Adams"
"42","McWane Inc","$22900","$0","$22900","Robert B Aderholt"
"43","Drummond Co","$17000","$10000","$7000","Robert B Aderholt"
"44","Maynard, Cooper & Gale","$16000","$10000","$6000","Robert B Aderholt"
"45","General Atomics","$15800","$10000","$5800","Robert B Aderholt"
"46","Parker Towing","$13200","$0","$13200","Robert B Aderholt"
"47","Dai-Ichi Life","$12500","$10000","$2500","Robert B Aderholt"
"48","Southern Co","$12500","$10000","$2500","Robert B Aderholt"
"49","Sierra Nevada Corp","$11800","$5000","$6800","Robert B Aderholt"
"50","Hunt Companies","$11600","$0","$11600","Robert B Aderholt"
"51","Honeywell International","$11557","$10000","$1557","Robert B Aderholt"
"52","Herzog","$82500","$10000","$72500","Amanda Adkins"
"53","Lockton Companies","$36650","$0","$36650","Amanda Adkins"
"54","Value Health Inc","$35000","$0","$35000","Amanda Adkins"
"55","Nueterra Capital","$33400","$0","$33400","Amanda Adkins"
"56","Ecco Select","$26500","$0","$26500","Amanda Adkins"
"57","Kiewit Corp","$22900","$0","$22900","Amanda Adkins"
"58","Cohen-Esrey Real Estate Services","$22800","$0","$22800","Amanda Adkins"
"59","Oracle Corp","$22050","$0","$22050","Amanda Adkins"
"60","Crossland Construction","$20300","$0","$20300","Amanda Adkins"
"61","Tifec LLC","$20300","$0","$20300","Amanda Adkins"
"62","Supporting Electing American Leaders","$5000","$5000","$0","Erick Aguilar"
"63","Cessna Communications","$1672","$0","$1672","Erick Aguilar"
"64","Pre-3","$1425","$0","$1425","Erick Aguilar"
"65","Hyundai Motor America","$1416","$0","$1416","Erick Aguilar"
"66","Baymont Inn Suites","$1365","$0","$1365","Erick Aguilar"
"67","Regenesis Biomedical","$1354","$0","$1354","Erick Aguilar"
"68","Horse Boarding","$1218","$0","$1218","Erick Aguilar"
"69","Wholistic Health Coach","$1160","$0","$1160","Erick Aguilar"
"70","Andrew Farms","$1105","$0","$1105","Erick Aguilar"
"71","Project Management Consultant","$1084","$0","$1084","Erick Aguilar"
"72","Votesane PAC","$55000","$0","$55000","Pete Aguilar"
"73","American Israel Public Affairs Cmte","$31800","$7900","$23900","Pete Aguilar"
"74","Gentex","$27200","$10000","$17200","Pete Aguilar"
"75","Comcast Corp","$21850","$10000","$11850","Pete Aguilar"
"76","Rock Holdings","$19000","$9000","$10000","Pete Aguilar"
"77","Microsoft Corp","$15600","$10000","$5600","Pete Aguilar"
"78","Blue Cross/Blue Shield","$15000","$15000","$0","Pete Aguilar"
"79","General Atomics","$14000","$10000","$4000","Pete Aguilar"
"80","Telacu","$13700","$0","$13700","Pete Aguilar"
"81","Gentex Corp","$13200","$0","$13200","Pete Aguilar"
"82","Sahara","$17400","$0","$17400","Junaid Ahmed"
"83","Amazon.com","$14750","$0","$14750","Junaid Ahmed"
"84","Microsoft Corp","$12900","$0","$12900","Junaid Ahmed"
"85","Advocate Aurora Health","$11750","$0","$11750","Junaid Ahmed"
"86","Bofa","$9850","$0","$9850","Junaid Ahmed"
"87","Accenture","$9800","$0","$9800","Junaid Ahmed"
"88","Abbvie Inc","$9450","$0","$9450","Junaid Ahmed"
"89","Dysis","$9000","$0","$9000","Junaid Ahmed"
"90","Hyline Dental","$8500","$0","$8500","Junaid Ahmed"
"91","Mansoor Pediatrics","$8500","$0","$8500","Junaid Ahmed"
"92","The Majority Rules","$10000","$10000","$0","Timothy C Alexander"
"93","Baupost Group","$5800","$0","$5800","Timothy C Alexander"
"94","Breakthru Beverage Group","$5800","$0","$5800","Timothy C Alexander"
"95","Intelligent Communication Systems","$5800","$0","$5800","Timothy C Alexander"
"96","Intermediate Capital Group","$5800","$0","$5800","Timothy C Alexander"
"97","Always Best Care","$5000","$0","$5000","Timothy C Alexander"
"98","DRD Consulting","$5000","$0","$5000","Timothy C Alexander"
"99","UNITE HERE","$5000","$5000","$0","Timothy C Alexander"
"100","United Food & Commercial Workers Union","$5000","$5000","$0","Timothy C Alexander"
"101","Tuckahoe Brewery","$4500","$0","$4500","Timothy C Alexander"
"102","Black Rifle Coffee","$5800","$0","$5800","Graham Allen"
"103","Buff Enterprises","$5800","$0","$5800","Graham Allen"
"104","Rapid Loop Consulting LLC","$5800","$0","$5800","Graham Allen"
"105","X Strategies","$5800","$0","$5800","Graham Allen"
"106","Hughes Investments (South Carolina)","$3000","$0","$3000","Graham Allen"
"107","Blair Florida LLC","$2900","$0","$2900","Graham Allen"
"108","De Groote Financial Group","$2900","$0","$2900","Graham Allen"
"109","Federal Savings Bank","$2900","$0","$2900","Graham Allen"
"110","Firearms","$2900","$0","$2900","Graham Allen"
"111","Hjr Global","$2900","$0","$2900","Graham Allen"
"112","Pollard Lumber","$17400","$0","$17400","Richard W Allen"
"113","MAU Workforce Solutions","$11600","$0","$11600","Richard W Allen"
"114","Yancey Brothers","$11600","$0","$11600","Richard W Allen"
"115","Home Depot","$10500","$10000","$500","Richard W Allen"
"116","AFLAC Inc","$10000","$10000","$0","Richard W Allen"
"117","American Crystal Sugar","$10000","$10000","$0","Richard W Allen"
"118","Majority Cmte PAC","$10000","$10000","$0","Richard W Allen"
"119","National Assn of Realtors","$10000","$10000","$0","Richard W Allen"
"120","National Auto Dealers Assn","$10000","$10000","$0","Richard W Allen"
"121","National Chicken Council","$10000","$10000","$0","Richard W Allen"
"122","Esquire Litigation Group","$2600","$0","$2600","Tammy Allison"
"123","Black Girl Magic Museum LLC","$1000","$0","$1000","Tammy Allison"
"124","Hamumu Games","$1000","$0","$1000","Tammy Allison"
"125","Twitter","$1000","$0","$1000","Tammy Allison"
"126","Tarrant County, TX","$512","$0","$512","Tammy Allison"
"127","Bocarsly Emden","$500","$0","$500","Tammy Allison"
"128","Circuit Court for Baltimore Ci","$500","$0","$500","Tammy Allison"
"129","Southern Co","$500","$0","$500","Tammy Allison"
"130","Vertz","$412","$0","$412","Tammy Allison"
"131","State of Texas","$212","$0","$212","Tammy Allison"
"132","Democracy Engine","$39600","$0","$39600","Colin Allred"
"133","J Street","$20500","$0","$20500","Colin Allred"
"134","University of Texas","$18850","$0","$18850","Colin Allred"
"135","American Israel Public Affairs Cmte","$18400","$5000","$13400","Colin Allred"
"136","American Airlines Group","$16300","$0","$16300","Colin Allred"
"137","Jones Day","$14308","$0","$14308","Colin Allred"
"138","Akin, Gump et al","$12650","$3250","$9400","Colin Allred"
"139","Frontline USA","$12385","$5000","$7385","Colin Allred"
"140","Perkins Coie","$11700","$0","$11700","Colin Allred"
"141","Dorchester Minerals","$11600","$0","$11600","Colin Allred"
"142","Southern New Hampshire University","$2450","$0","$2450","Bruno Amato"
"143","Bcps.Org","$1550","$0","$1550","Bruno Amato"
"144","Noramax Productions","$1410","$0","$1410","Bruno Amato"
"145","Collinear Networks","$1000","$0","$1000","Bruno Amato"
"146","Prime Lube","$1000","$0","$1000","Bruno Amato"
"147","Vista Equity Partners","$825","$0","$825","Bruno Amato"
"148","Kantor Law Firm","$500","$0","$500","Bruno Amato"
"149","Neena'S Boy","$500","$0","$500","Bruno Amato"
"150","Southern California Permanente Medical Group","$500","$0","$500","Bruno Amato"
"151","Succulent Studios","$500","$0","$500","Bruno Amato"
"152","Sierra Nevada Corp","$17800","$10000","$7800","Mark Amodei"
"153","Honeywell International","$15800","$10000","$5800","Mark Amodei"
"154","ClearPath Foundation","$11600","$0","$11600","Mark Amodei"
"155","Peak Capital","$11600","$0","$11600","Mark Amodei"
"156","Peppermill Casinos","$11600","$0","$11600","Mark Amodei"
"157","South Point Hotel & Casino","$11200","$0","$11200","Mark Amodei"
"158","American Society of Anesthesiologists","$10000","$8500","$1500","Mark Amodei"
"159","AT&T Inc","$10000","$10000","$0","Mark Amodei"
"160","BlackRock Inc","$10000","$10000","$0","Mark Amodei"
"161","Eye of the Tiger PAC","$10000","$10000","$0","Mark Amodei"
"162","Nationsroot Inc","$2900","$0","$2900","Manga Anantatmula"
"163","Prime Solution","$2900","$0","$2900","Manga Anantatmula"
"164","Ramoco Fuels","$2900","$0","$2900","Manga Anantatmula"
"165","University of North Carolina","$2900","$0","$2900","Manga Anantatmula"
"166","Granuals Pharmaceuticals","$2500","$0","$2500","Manga Anantatmula"
"167","Sentinel PAC","$1000","$1000","$0","Manga Anantatmula"
"168","Shipays Inn","$1000","$0","$1000","Manga Anantatmula"
"169","ASCII Group","$500","$0","$500","Manga Anantatmula"
"170","Rwg America","$500","$0","$500","Manga Anantatmula"
"171","Potomac Urology","$251","$0","$251","Manga Anantatmula"
"172","I Home Reality","$250","$0","$250","David Jr Anderson"
"173","Oak View Group","$250","$0","$250","David Jr Anderson"
"174","Cleveland Clinic","$2072","$0","$2072","Sylvester Jr Ani"
"175","La Care","$1600","$0","$1600","Sylvester Jr Ani"
"176","Growth Accelerators LLC","$1036","$0","$1036","Sylvester Jr Ani"
"177","Carson Healthcare Services LLC","$1000","$0","$1000","Sylvester Jr Ani"
"178","Nom","$622","$0","$622","Sylvester Jr Ani"
"179","City of Norwalk","$518","$0","$518","Sylvester Jr Ani"
"180","Kaiser Permanente","$500","$0","$500","Sylvester Jr Ani"
"181","Los Angeles Unified School District","$500","$0","$500","Sylvester Jr Ani"
"182","University of California","$500","$0","$500","Sylvester Jr Ani"
"183","Decolonial Educator","$400","$0","$400","Sylvester Jr Ani"
"184","Prs Inc","$5800","$0","$5800","Eddy Aragon"
"185","Bladewerx","$1000","$0","$1000","Eddy Aragon"
"186","Ga Brunacini Construction Co","$1000","$0","$1000","Eddy Aragon"
"187","Advantage Homes","$500","$0","$500","Eddy Aragon"
"188","Business Environments","$500","$0","$500","Eddy Aragon"
"189","Unmh","$500","$0","$500","Eddy Aragon"
"190","Defeat Republicans PAC","$15000","$15000","$0","Phil Arballo"
"191","Maryvale Preparatory Academy","$11600","$0","$11600","Phil Arballo"
"192","Meta","$11600","$0","$11600","Phil Arballo"
"193","University of California","$8875","$0","$8875","Phil Arballo"
"194","AXA","$5800","$0","$5800","Phil Arballo"
"195","Bain Capital","$5800","$0","$5800","Phil Arballo"
"196","County Bank","$5800","$0","$5800","Phil Arballo"
"197","McKinsey & Co","$5800","$0","$5800","Phil Arballo"
"198","Mickles Enterprises","$5800","$0","$5800","Phil Arballo"
"199","Nms Property Services","$5800","$0","$5800","Phil Arballo"
"200","Miramar Capital","$2900","$0","$2900","Chelsea Ardoin"
"201","Broussard Group","$500","$0","$500","Chelsea Ardoin"
"202","Johnson Law Firm","$300","$0","$300","Chelsea Ardoin"
"203","Ryleigh LLC","$250","$0","$250","Chelsea Ardoin"
"204","EMILY's List","$91315","$5000","$86315","Val Arkoosh"
"205","University of Pennsylvania","$35775","$0","$35775","Val Arkoosh"
"206","Drexel University","$17900","$0","$17900","Val Arkoosh"
"207","Jefferson Health System","$11350","$0","$11350","Val Arkoosh"
"208","Manko, Gold et al","$10798","$0","$10798","Val Arkoosh"
"209","Temple University","$10390","$0","$10390","Val Arkoosh"
"210","Stanford University","$10100","$0","$10100","Val Arkoosh"
"211","Rmk Assoc","$8700","$0","$8700","Val Arkoosh"
"212","Tsci LLC","$8700","$0","$8700","Val Arkoosh"
"213","American Society of Anesthesiologists","$8500","$7500","$1000","Val Arkoosh"
"214","Huck PAC","$10000","$10000","$0","Irene Armendariz-Jackson"
"215","T&T Staff Management","$5800","$0","$5800","Irene Armendariz-Jackson"
"216","Development Services LLC","$2900","$0","$2900","Irene Armendariz-Jackson"
"217","Nolan Capital (Texas)","$2900","$0","$2900","Irene Armendariz-Jackson"
"218","Pedraza Chb","$2900","$0","$2900","Irene Armendariz-Jackson"
"219","American One Source","$2500","$0","$2500","Irene Armendariz-Jackson"
"220","Avm","$1860","$0","$1860","Irene Armendariz-Jackson"
"221","No Info","$1140","$0","$1140","Irene Armendariz-Jackson"
"222","No Info Given","$1064","$0","$1064","Irene Armendariz-Jackson"
"223","Jackson Walker LLP","$1043","$0","$1043","Irene Armendariz-Jackson"
"224","NACCO Industries","$20700","$12500","$8200","Kelly Armstrong"
"225","Microsoft Corp","$13800","$10000","$3800","Kelly Armstrong"
"226","Continental Resources","$13700","$5000","$8700","Kelly Armstrong"
"227","Hess Corp","$12000","$10000","$2000","Kelly Armstrong"
"228","Cerberus Capital Management","$11600","$0","$11600","Kelly Armstrong"
"229","Corwin Auto","$11600","$0","$11600","Kelly Armstrong"
"230","Jordahl Custom Homes","$11600","$0","$11600","Kelly Armstrong"
"231","Blue Cross/Blue Shield","$11250","$11000","$250","Kelly Armstrong"
"232","North Dakota Petroleum Council","$10500","$10000","$500","Kelly Armstrong"
"233","United Energy","$10500","$0","$10500","Kelly Armstrong"
"234","Caprock Cardiovascular Center","$11600","$0","$11600","Jodey Arrington"
"235","Hunt Companies","$11600","$0","$11600","Jodey Arrington"
"236","American Hospital Assn","$11500","$8500","$3000","Jodey Arrington"
"237","Illumina Inc","$10900","$7900","$3000","Jodey Arrington"
"238","AT&T Inc","$10000","$10000","$0","Jodey Arrington"
"239","Exxon Mobil","$10000","$10000","$0","Jodey Arrington"
"240","Eye of the Tiger PAC","$10000","$10000","$0","Jodey Arrington"
"241","Farm Credit Council","$10000","$10000","$0","Jodey Arrington"
"242","Hbc Investments","$10000","$0","$10000","Jodey Arrington"
"243","Koch Industries","$10000","$10000","$0","Jodey Arrington"
"244","Marmac","$1500","$0","$1500","Barbara Arthur"
"245","Cash, Donations","$1280","$0","$1280","Barbara Arthur"
"246","Arcadian Risk Managers","$1000","$0","$1000","Barbara Arthur"
"247","Furr Grading & Paving","$1000","$0","$1000","Barbara Arthur"
"248","New Generations Adult Day Cent","$1000","$0","$1000","Barbara Arthur"
"249","Sherman Family Investments","$1000","$0","$1000","Barbara Arthur"
"250","Victors","$1000","$0","$1000","Barbara Arthur"
"251","Vipkid","$1000","$0","$1000","Barbara Arthur"
"252","Watts & Assoc","$1000","$0","$1000","Barbara Arthur"
"253","Ace Hardware","$500","$0","$500","Barbara Arthur"
"254","American Israel Public Affairs Cmte","$81450","$10000","$71450","Jake Auchincloss"
"255","Bain Capital","$47000","$0","$47000","Jake Auchincloss"
"256","Blackstone Group","$37700","$0","$37700","Jake Auchincloss"
"257","Harvard University","$34850","$0","$34850","Jake Auchincloss"
"258","Mass General Brigham","$29320","$0","$29320","Jake Auchincloss"
"259","Elliott Management","$26780","$0","$26780","Jake Auchincloss"
"260","Apollo Global Management","$26000","$0","$26000","Jake Auchincloss"
"261","Berkshire Partners","$23200","$0","$23200","Jake Auchincloss"
"262","General Catalyst Partners","$23200","$0","$23200","Jake Auchincloss"
"263","Great Hill Partners","$23200","$0","$23200","Jake Auchincloss"
"264","Democracy Engine","$151552","$0","$151552","Cindy Axne"
"265","EMILY's List","$59988","$10000","$49988","Cindy Axne"
"266","Votesane PAC","$41500","$0","$41500","Cindy Axne"
"267","J Street","$39632","$0","$39632","Cindy Axne"
"268","Frontline USA","$35285","$7500","$27785","Cindy Axne"
"269","Apollo Global Management","$26630","$0","$26630","Cindy Axne"
"270","Alphabet Inc","$25472","$0","$25472","Cindy Axne"
"271","Democratic Congressional Campaign Cmte","$24679","$0","$24679","Cindy Axne"
"272","American Israel Public Affairs Cmte","$20400","$7900","$12500","Cindy Axne"
"273","University of Iowa","$19209","$0","$19209","Cindy Axne"
"274","Simply Good Foods Co","$2900","$0","$2900","Andy Baan"
"275","Aimco","$2800","$0","$2800","Andy Baan"
"276","Leadership Institute","$2800","$0","$2800","Andy Baan"
"277","Jo-Kell Inc","$1500","$0","$1500","Andy Baan"
"278","Avmac LLC","$1250","$0","$1250","Andy Baan"
"279","Non-Wage Owner","$1250","$0","$1250","Andy Baan"
"280","Classic Books of Virginia","$1000","$0","$1000","Andy Baan"
"281","Mark Flaherty Consulting LLC","$500","$0","$500","Andy Baan"
"282","Edgewater Assoc","$250","$0","$250","Andy Baan"
"283","Mapping Solutions LLC","$250","$0","$250","Andy Baan"
"284","Trans-Global Solutions","$17400","$0","$17400","Brian Babin"
"285","Modern Group (Texas)","$14500","$0","$14500","Brian Babin"
"286","Bestway Oilfield","$11600","$0","$11600","Brian Babin"
"287","Nash Group","$11600","$0","$11600","Brian Babin"
"288","American Dental Assn","$11250","$10000","$1250","Brian Babin"
"289","American Academy of Pediatric Dentistry","$10000","$10000","$0","Brian Babin"
"290","American Assn of Orthodontists","$10000","$10000","$0","Brian Babin"
"291","American Assn/Oral & Maxillofacial Surg","$10000","$10000","$0","Brian Babin"
"292","American Crystal Sugar","$10000","$10000","$0","Brian Babin"
"293","Honeywell International","$10000","$10000","$0","Brian Babin"
"294","No Labels","$312483","$5000","$307483","Donald John Bacon"
"295","Tenaska Energy","$40950","$10000","$30950","Donald John Bacon"
"296","Pro-Israel America PAC","$28050","$6000","$22050","Donald John Bacon"
"297","Kiewit Corp","$22800","$0","$22800","Donald John Bacon"
"298","Hawkins Construction","$17800","$0","$17800","Donald John Bacon"
"299","Sierra Nevada Corp","$16600","$5000","$11600","Donald John Bacon"
"300","BAE Systems","$16500","$10000","$6500","Donald John Bacon"
"301","Marine Engineers Beneficial Assn","$15500","$15500","$0","Donald John Bacon"
"302","National Cattlemen's Beef Assn","$15400","$10000","$5400","Donald John Bacon"
"303","American Israel Public Affairs Cmte","$15310","$2100","$13210","Donald John Bacon"
"304","Total Wireless","$505","$0","$505","Youseff Baddar"
"305","Greenbelt Auto Parts","$500","$0","$500","Youseff Baddar"
"306","Mercy Health (Michigan)","$500","$0","$500","Youseff Baddar"
"307","Flick'S Package Liquor","$280","$0","$280","Youseff Baddar"
"308","Flyght","$250","$0","$250","Youseff Baddar"
"309","Toledo Clinic","$250","$0","$250","Youseff Baddar"
"310","Woodcrest School","$250","$0","$250","Youseff Baddar"
"311","Friends for Life Residential","$175","$0","$175","Youseff Baddar"
"312","Domino's Pizza","$115","$0","$115","Youseff Baddar"
"313","Metro Vein Centers","$100","$0","$100","Youseff Baddar"
"314","K Rowe Investments","$2900","$0","$2900","Kathleen Cordelia Bailey"
"315","I-Group Llc","$2800","$0","$2800","Kathleen Cordelia Bailey"
"316","Carol Crabtree Donovan Pc","$1700","$0","$1700","Kathleen Cordelia Bailey"
"317","Workingbuildings LLC","$1500","$0","$1500","Kathleen Cordelia Bailey"
"318","Hason Hosp","$1000","$0","$1000","Kathleen Cordelia Bailey"
"319","Kastl Law","$750","$0","$750","Kathleen Cordelia Bailey"
"320","Bloomberg LP","$500","$0","$500","Kathleen Cordelia Bailey"
"321","Ebby Halliday Realtors","$500","$0","$500","Kathleen Cordelia Bailey"
"322","Geary, Porter & Donovan","$343","$0","$343","Kathleen Cordelia Bailey"
"323","Entertainment Partners","$300","$0","$300","Kathleen Cordelia Bailey"
"324","Farm Credit Council","$10000","$10000","$0","Jim Baird"
"325","Majority Cmte PAC","$10000","$10000","$0","Jim Baird"
"326","Barnes & Thornburg","$9900","$1000","$8900","Jim Baird"
"327","Gaylor Electric","$8300","$0","$8300","Jim Baird"
"328","American Israel Public Affairs Cmte","$7900","$7900","$0","Jim Baird"
"329","Ice Miller LLP","$6250","$5000","$1250","Jim Baird"
"330","American Bankers Assn","$6000","$6000","$0","Jim Baird"
"331","AT&T Inc","$6000","$6000","$0","Jim Baird"
"332","National Assn of Realtors","$6000","$6000","$0","Jim Baird"
"333","Nicoson Farms","$5900","$0","$5900","Jim Baird"
"334","Farm Credit Council","$10000","$10000","$0","Jim Baird"
"335","Majority Cmte PAC","$10000","$10000","$0","Jim Baird"
"336","Barnes & Thornburg","$9900","$1000","$8900","Jim Baird"
"337","Gaylor Electric","$8300","$0","$8300","Jim Baird"
"338","American Israel Public Affairs Cmte","$7900","$7900","$0","Jim Baird"
"339","Ice Miller LLP","$6250","$5000","$1250","Jim Baird"
"340","American Bankers Assn","$6000","$6000","$0","Jim Baird"
"341","AT&T Inc","$6000","$6000","$0","Jim Baird"
"342","National Assn of Realtors","$6000","$6000","$0","Jim Baird"
"343","Nicoson Farms","$5900","$0","$5900","Jim Baird"
"344","Shelly & Sands","$17400","$0","$17400","Troy Balderson"
"345","Nationwide","$16850","$10000","$6850","Troy Balderson"
"346","Blue Cross/Blue Shield","$13000","$13000","$0","Troy Balderson"
"347","Champion Companies","$11600","$0","$11600","Troy Balderson"
"348","Fisher Investments","$11600","$0","$11600","Troy Balderson"
"349","Marcus Foundation","$11600","$0","$11600","Troy Balderson"
"350","Western National Group","$11600","$0","$11600","Troy Balderson"
"351","Abbott Laboratories","$10500","$10000","$500","Troy Balderson"
"352","American Bankers Assn","$10500","$10500","$0","Troy Balderson"
"353","Huntington Bancshares","$10300","$10000","$300","Troy Balderson"
"354","Blackstone Group","$20300","$0","$20300","Jim Banks"
"355","American Israel Public Affairs Cmte","$19800","$7900","$11900","Jim Banks"
"356","MacAndrews & Forbes","$18550","$10000","$8550","Jim Banks"
"357","Deister Machine Co","$11600","$0","$11600","Jim Banks"
"358","Glenbrook Dodge Chrysler Jeep","$11600","$0","$11600","Jim Banks"
"359","Uline Inc","$11600","$0","$11600","Jim Banks"
"360","Boeing Co","$11000","$9000","$2000","Jim Banks"
"361","Ultra Electronics","$10750","$10000","$750","Jim Banks"
"362","Kirkland & Ellis","$10500","$0","$10500","Jim Banks"
"363","American Bankers Assn","$10250","$10000","$250","Jim Banks"
"364","K Rowe Investments","$5800","$0","$5800","Cindy Banyai"
"365","Zimmer Biomet","$2900","$0","$2900","Cindy Banyai"
"366","No Dem Left Behind PAC","$2500","$2500","$0","Cindy Banyai"
"367","Women United for Florida Families","$2005","$2005","$0","Cindy Banyai"
"368","American Federation of School Administrators","$1700","$0","$1700","Cindy Banyai"
"369","Center for Sight (New York)","$1025","$0","$1025","Cindy Banyai"
"370","Cumberland Advisors","$1000","$0","$1000","Cindy Banyai"
"371","Dewberry","$1000","$0","$1000","Cindy Banyai"
"372","Everytown for Gun Safety","$1000","$1000","$0","Cindy Banyai"
"373","Edison Ford Winter Estates","$700","$0","$700","Cindy Banyai"
"374","Weber State University","$300","$0","$300","Evan Barlow"
"375","Jones Day","$2800","$0","$2800","John Barnes"
"376","Ready Rock Trucking","$500","$0","$500","John Barnes"
"377","Harvard University","$250","$0","$250","John Barnes"
"378","Landscapers Supply of Greenville","$25000","$0","$25000","Kathy Barnette"
"379","Construction Dynamics","$11600","$0","$11600","Kathy Barnette"
"380","Rose Ellis LLC","$9300","$0","$9300","Kathy Barnette"
"381","H&K Group","$9200","$0","$9200","Kathy Barnette"
"382","Creative Solutions In Healthcare","$8700","$0","$8700","Kathy Barnette"
"383","Martins Famous Pastry Shoppe","$8700","$0","$8700","Kathy Barnette"
"384","Newtown Athletic Club","$8700","$0","$8700","Kathy Barnette"
"385","Rti Insurance Service","$8700","$0","$8700","Kathy Barnette"
"386","Icona","$8400","$0","$8400","Kathy Barnette"
"387","Dunlap & Kyle","$7000","$0","$7000","Kathy Barnette"
"388","Apollo Global Management","$29402","$5400","$24002","Andy Barr"
"389","Rock Holdings","$22000","$10000","$12000","Andy Barr"
"390","B Riley Financial","$20300","$0","$20300","Andy Barr"
"391","Blackstone Group","$20300","$0","$20300","Andy Barr"
"392","Alliance Resource Partners","$19900","$0","$19900","Andy Barr"
"393","Mt Brilliant Farm","$17400","$0","$17400","Andy Barr"
"394","Forcht Group of Kentucky","$16600","$0","$16600","Andy Barr"
"395","Goldman Sachs","$16000","$6000","$10000","Andy Barr"
"396","Northwestern Mutual","$15713","$10000","$5713","Andy Barr"
"397","Greer Companies","$14400","$0","$14400","Andy Barr"
"398","Syfan Logistics","$12500","$0","$12500","Timothy Barr"
"399","State of Georgia","$9700","$0","$9700","Timothy Barr"
"400","Kitchen & Bath Design Group","$7050","$0","$7050","Timothy Barr"
"401","Reach Technologies","$6300","$0","$6300","Timothy Barr"
"402","Corcoran Partners","$5800","$0","$5800","Timothy Barr"
"403","Dpr Construction","$5800","$0","$5800","Timothy Barr"
"404","Glasstech Services","$5800","$0","$5800","Timothy Barr"
"405","Juzyk Construction","$5800","$0","$5800","Timothy Barr"
"406","Prime Retail Services","$5800","$0","$5800","Timothy Barr"
"407","Progressive Realty LLC","$5800","$0","$5800","Timothy Barr"
"408","American Israel Public Affairs Cmte","$38350","$2100","$36250","Nanette Barragan"
"409","Buchanan, Ingersoll & Rooney","$11600","$0","$11600","Nanette Barragan"
"410","American Crystal Sugar","$10000","$10000","$0","Nanette Barragan"
"411","American Federation of State/Cnty/Munic Employees","$10000","$10000","$0","Nanette Barragan"
"412","Carpenters & Joiners Union","$10000","$10000","$0","Nanette Barragan"
"413","Edison International","$10000","$10000","$0","Nanette Barragan"
"414","Honeywell International","$10000","$10000","$0","Nanette Barragan"
"415","Machinists/Aerospace Workers Union","$10000","$10000","$0","Nanette Barragan"
"416","National Union of Healthcare Workers","$10000","$10000","$0","Nanette Barragan"
"417","Operating Engineers Union","$10000","$10000","$0","Nanette Barragan"
"418","Penn Entertainment","$5000","$5000","$0","Jeff Bartos"
"419","Duane Morris LLP","$4000","$4000","$0","Jeff Bartos"
"420","Essential Utilities Inc","$2000","$2000","$0","Jeff Bartos"
"421","Govern PAC","$1000","$1000","$0","Jeff Bartos"
