"Contributor","Total","PACs","Individuals","Senator"
"Tlc Properties","$15350","$0","$15350","Billy Long"
"Trailiner Corp","$14300","$0","$14300","Billy Long"
"Missouri State University","$12450","$0","$12450","Billy Long"
"Republic Ford","$11900","$0","$11900","Billy Long"
"Catalyst Pharmaceuticals","$11600","$0","$11600","Billy Long"
"Fast Food Systems","$14500","$0","$14500","Laura Loomer"
"Dougjeffersatjennika.Com","$6643","$0","$6643","Laura Loomer"
"Bloomboard","$5800","$0","$5800","Laura Loomer"
"Boston Land Co","$5800","$0","$5800","Laura Loomer"
"Hamilton Staffing","$5800","$0","$5800","Laura Loomer"
"Huizenga Holdings","$5800","$0","$5800","Laura Loomer"
"KBS Inc (Pennsylvania)","$5800","$0","$5800","Laura Loomer"
"Korff Holdings LLC","$5800","$0","$5800","Laura Loomer"
"Meredith Fine Properties","$5800","$0","$5800","Laura Loomer"
"Nextgen Management","$5800","$0","$5800","Laura Loomer"
"Daniels Manufacturing","$2800","$0","$2800","Luna Lopez"
"Bounty Loan Exchange","$500","$0","$500","Luna Lopez"
"Comanco","$500","$0","$500","Luna Lopez"
"Equity Loan Exchange","$500","$0","$500","Luna Lopez"
"Pool Designs","$250","$0","$250","Luna Lopez"
"We the People Firearms","$250","$0","$250","Luna Lopez"
"Whitsell Mfg","$250","$0","$250","Luna Lopez"
"Exxon Mobil","$500","$0","$500","Roland Lopez"
"Pr Boutique","$500","$0","$500","Roland Lopez"
"Kri Real Estate","$250","$0","$250","Roland Lopez"
"Luck Law Firm","$250","$0","$250","Roland Lopez"
"Apollo Global Management","$21700","$0","$21700","Barry Loudermilk"
"American Israel Public Affairs Cmte","$17900","$7900","$10000","Barry Loudermilk"
"Southern Co","$10500","$10000","$500","Barry Loudermilk"
"Credit Union National Assn","$10000","$10000","$0","Barry Loudermilk"
"Ernst & Young","$10000","$10000","$0","Barry Loudermilk"
"Mortgage Bankers Assn","$10000","$10000","$0","Barry Loudermilk"
"National Assn of Insurance & Financial Advisors","$10000","$10000","$0","Barry Loudermilk"
"National Assn of Realtors","$10000","$10000","$0","Barry Loudermilk"
"National Auto Dealers Assn","$10000","$10000","$0","Barry Loudermilk"
"Truist Financial","$10000","$10000","$0","Barry Loudermilk"
"Sonosky, Chambers et al","$3050","$0","$3050","Georgene Louis"
"K Rowe Investments","$2900","$0","$2900","Georgene Louis"
"Shakopee Mdewakanton Sioux Community","$2900","$0","$2900","Georgene Louis"
"Puyallup Tribe Of Indians","$2800","$0","$2800","Georgene Louis"
"Pueblo of Acoma","$2700","$0","$2700","Georgene Louis"
"Nottawaseppi Huron Band of Potawatomis","$2000","$0","$2000","Georgene Louis"
"US Dept of the Interior","$1900","$0","$1900","Georgene Louis"
"Wend Collective","$1550","$0","$1550","Georgene Louis"
"Pueblo Of Tesque","$1500","$0","$1500","Georgene Louis"
"Birch, Horton et al","$1000","$0","$1000","Georgene Louis"
"Carilion Clinic","$1000","$0","$1000","Kimberly Lowe"
"Gm Teldough","$1000","$0","$1000","Kimberly Lowe"
"Chick-Fil-A","$300","$0","$300","Kimberly Lowe"
"Microgendx","$300","$0","$300","Kimberly Lowe"
"Nossaman LLP","$200","$0","$200","Kimberly Lowe"
"Seafarers International Union","$8000","$8000","$0","Alan Lowenthal"
"American Federation of State/Cnty/Munic Employees","$7500","$7500","$0","Alan Lowenthal"
"Teamsters Union","$7500","$7500","$0","Alan Lowenthal"
"Cool Effect","$5800","$0","$5800","Alan Lowenthal"
"High Tide Foundation","$5800","$0","$5800","Alan Lowenthal"
"Coeur Mining","$5000","$5000","$0","Alan Lowenthal"
"Crowley Maritime","$5000","$5000","$0","Alan Lowenthal"
"HDR Inc","$5000","$5000","$0","Alan Lowenthal"
"International Brotherhood of Electrical Workers","$5000","$5000","$0","Alan Lowenthal"
"International Longshore/Warehouse Union","$5000","$5000","$0","Alan Lowenthal"
"Devon Energy","$20500","$5000","$15500","Frank D Lucas"
"Hilliary Communications","$16600","$0","$16600","Frank D Lucas"
"Northrop Grumman","$12900","$10000","$2900","Frank D Lucas"
"Boeing Co","$11000","$10000","$1000","Frank D Lucas"
"BancFirst","$10700","$0","$10700","Frank D Lucas"
"Ernst & Young","$10250","$10000","$250","Frank D Lucas"
"American Assn of Crop Insurers","$10000","$10000","$0","Frank D Lucas"
"Council of Insurance Agents & Brokers","$10000","$10000","$0","Frank D Lucas"
"Farm Credit Council","$10000","$10000","$0","Frank D Lucas"
"Home Depot","$10000","$10000","$0","Frank D Lucas"
"Echo Horizon School","$1000","$0","$1000","Robert Lucero"
"Votesane PAC","$30000","$0","$30000","Blaine Luetkemeyer"
"Apollo Global Management","$22850","$0","$22850","Blaine Luetkemeyer"
"Rock Holdings","$20000","$10000","$10000","Blaine Luetkemeyer"
"Blackstone Group","$17400","$0","$17400","Blaine Luetkemeyer"
"US Bancorp","$16750","$16500","$250","Blaine Luetkemeyer"
"PNC Financial Services","$15800","$10000","$5800","Blaine Luetkemeyer"
"Transunion Llc","$14800","$9000","$5800","Blaine Luetkemeyer"
"Mortgage Bankers Assn","$13000","$10000","$3000","Blaine Luetkemeyer"
"USAA","$12500","$10000","$2500","Blaine Luetkemeyer"
"American Bankers Assn","$12250","$10000","$2250","Blaine Luetkemeyer"
"Arizona State University","$2200","$0","$2200","Ruth Luevanos"
"Happy Kids Pediatrics","$1500","$0","$1500","Ruth Luevanos"
"Jon Landau Management","$1000","$0","$1000","Ruth Luevanos"
"La County Dept Reg Planning","$1000","$0","$1000","Ruth Luevanos"
"Station A","$1000","$0","$1000","Ruth Luevanos"
"Law Office Of David Barlavi","$985","$0","$985","Ruth Luevanos"
"University of California","$850","$0","$850","Ruth Luevanos"
"Los Angeles Unified School District","$620","$0","$620","Ruth Luevanos"
"County of Ventura","$600","$0","$600","Ruth Luevanos"
"AB Johnson","$500","$0","$500","Ruth Luevanos"
"House Freedom Fund","$63931","$10000","$53931","Anna Paulina Luna"
"Club for Growth","$23950","$0","$23950","Anna Paulina Luna"
"American Power & Gas","$11600","$0","$11600","Anna Paulina Luna"
"Blu Nile Films","$11600","$0","$11600","Anna Paulina Luna"
"Pharmasphere Inc","$11600","$0","$11600","Anna Paulina Luna"
"Mobile Management","$11402","$0","$11402","Anna Paulina Luna"
"E-PAC","$10000","$10000","$0","Anna Paulina Luna"
"Madison Project","$10000","$10000","$0","Anna Paulina Luna"
"US Sugar","$10000","$5000","$5000","Anna Paulina Luna"
"Medallion Homes Gulf Coast","$8700","$0","$8700","Anna Paulina Luna"
"American Israel Public Affairs Cmte","$140714","$10000","$130714","Elaine Luria"
"Democracy Engine","$140539","$0","$140539","Elaine Luria"
"Pro-Israel America PAC","$102241","$10000","$92241","Elaine Luria"
"EMILY's List","$74977","$10000","$64977","Elaine Luria"
"NorPAC","$44060","$1000","$43060","Elaine Luria"
"Frontline USA","$39460","$7500","$31960","Elaine Luria"
"Old Dominion University","$23000","$0","$23000","Elaine Luria"
"Norfolk Southern","$22200","$7500","$14700","Elaine Luria"
"Blue Cross/Blue Shield","$20100","$5500","$14600","Elaine Luria"
"College of William & Mary","$19900","$0","$19900","Elaine Luria"
"JRM Hauling & Recycling","$16100","$0","$16100","Stephen F Lynch"
"Fidelity Investments","$10800","$5000","$5800","Stephen F Lynch"
"Air Line Pilots Assn","$10000","$10000","$0","Stephen F Lynch"
"International Assn of Fire Fighters","$10000","$10000","$0","Stephen F Lynch"
"Laborers Union","$10000","$10000","$0","Stephen F Lynch"
"National Assn of Insurance & Financial Advisors","$10000","$10000","$0","Stephen F Lynch"
"National Assn of Letter Carriers","$10000","$10000","$0","Stephen F Lynch"
"Painters & Allied Trades Union","$10000","$10000","$0","Stephen F Lynch"
"Teamsters Union","$10000","$10000","$0","Stephen F Lynch"
"Williams Companies","$10000","$10000","$0","Stephen F Lynch"
"Shore Capital Partners","$25050","$0","$25050","Eric Lynn"
"Henry Crown & Co","$14800","$0","$14800","Eric Lynn"
"Shumaker, Loop & Kendrick","$12850","$0","$12850","Eric Lynn"
"US House of Representatives","$12100","$0","$12100","Eric Lynn"
"Council on Strategic Risks","$11600","$0","$11600","Eric Lynn"
"Dynamic Machine","$11600","$0","$11600","Eric Lynn"
"Long & Foster Real Estate","$11600","$0","$11600","Eric Lynn"
"Route One Investment","$11600","$0","$11600","Eric Lynn"
"Willco","$11600","$0","$11600","Eric Lynn"
"King & Spalding","$9600","$0","$9600","Eric Lynn"
"American Israel Public Affairs Cmte","$23435","$7900","$15535","Nancy Mace"
"Winning for Women","$20300","$0","$20300","Nancy Mace"
"Paul, Weiss et al","$19600","$0","$19600","Nancy Mace"
"Nucor Corp","$16801","$5000","$11801","Nancy Mace"
"Veterans Guardian VA Claim Consulting","$14350","$0","$14350","Nancy Mace"
"Mason Capital Management","$12100","$0","$12100","Nancy Mace"
"Animal Wellness Action","$11800","$5000","$6800","Nancy Mace"
"Ball Ventures","$11600","$0","$11600","Nancy Mace"
"Ciena Healthcare Management","$11600","$0","$11600","Nancy Mace"
"Cresco Labs","$11600","$0","$11600","Nancy Mace"
"Ase","$11600","$0","$11600","J R Majewski"
"Majority Cmte PAC","$10000","$10000","$0","J R Majewski"
"Brown Gibbons Lang & Co","$8600","$0","$8600","J R Majewski"
"Landscaping Consultant","$5800","$0","$5800","J R Majewski"
"APL PAC","$5000","$5000","$0","J R Majewski"
"Eye of the Tiger PAC","$5000","$5000","$0","J R Majewski"
"Guardian Fund","$5000","$5000","$0","J R Majewski"
"Huck PAC","$5000","$5000","$0","J R Majewski"
"Mr Southern Missourian in the House","$5000","$5000","$0","J R Majewski"
"Save America","$5000","$5000","$0","J R Majewski"
"Democracy Engine","$148166","$0","$148166","Tom Malinowski"
"J Street","$98415","$0","$98415","Tom Malinowski"
"Rutgers University","$67070","$0","$67070","Tom Malinowski"
"Princeton University","$50532","$0","$50532","Tom Malinowski"
"Frontline USA","$39485","$5000","$34485","Tom Malinowski"
"Pro-Israel America PAC","$23200","$0","$23200","Tom Malinowski"
"Alphabet Inc","$20525","$0","$20525","Tom Malinowski"
"Blue Cross/Blue Shield","$20450","$0","$20450","Tom Malinowski"
"Digidems PAC","$17900","$0","$17900","Tom Malinowski"
"University of California","$17600","$0","$17600","Tom Malinowski"
"Meridian Properties","$36900","$0","$36900","Nicole Malliotakis"
"Welsh, Carson et al","$23900","$0","$23900","Nicole Malliotakis"
"HJ Kalikow & Co","$23200","$0","$23200","Nicole Malliotakis"
"Red Apple Group","$21000","$0","$21000","Nicole Malliotakis"
"Empire Workforce Solutions","$20300","$0","$20300","Nicole Malliotakis"
"Bruderman Brothers LLC","$17400","$0","$17400","Nicole Malliotakis"
"American Council of Engineering Cos","$16000","$15000","$1000","Nicole Malliotakis"
"Bay Ridge Honda","$15500","$0","$15500","Nicole Malliotakis"
"E-PAC","$15000","$15000","$0","Nicole Malliotakis"
"Eye of the Tiger PAC","$15000","$15000","$0","Nicole Malliotakis"
"Democracy Engine","$39400","$0","$39400","Carolyn B Maloney"
"Apollo Global Management","$35950","$0","$35950","Carolyn B Maloney"
"NASDAQ Inc","$24635","$10000","$14635","Carolyn B Maloney"
"Rock Holdings","$22500","$15000","$7500","Carolyn B Maloney"
"Cornell University","$21500","$0","$21500","Carolyn B Maloney"
"Genesis 10","$20300","$0","$20300","Carolyn B Maloney"
"Clarion Capital Partners","$19850","$0","$19850","Carolyn B Maloney"
"Estee Lauder Companies","$17900","$0","$17900","Carolyn B Maloney"
"Kps Capital Partners","$17400","$0","$17400","Carolyn B Maloney"
"Blair Investment Banking","$17000","$0","$17000","Carolyn B Maloney"
"Votesane PAC","$82000","$0","$82000","Sean Patrick Maloney"
"American Israel Public Affairs Cmte","$47300","$4200","$43100","Sean Patrick Maloney"
"League of Conservation Voters","$35261","$2011","$33250","Sean Patrick Maloney"
"Paul, Weiss et al","$35050","$0","$35050","Sean Patrick Maloney"
"New York Life Insurance","$29450","$15000","$14450","Sean Patrick Maloney"
"Sullivan & Cromwell","$23233","$0","$23233","Sean Patrick Maloney"
"Patterson Planning & Services","$20300","$0","$20300","Sean Patrick Maloney"
"JPMorgan Chase & Co","$19500","$2500","$17000","Sean Patrick Maloney"
"Bloomberg Lp","$18150","$0","$18150","Sean Patrick Maloney"
"Jonathan Lewis & Assoc","$17400","$0","$17400","Sean Patrick Maloney"
"Bank of America","$2500","$0","$2500","Ram Mammadov"
"Catholic Charities Maine","$750","$0","$750","Ram Mammadov"
"Allen Tate Co","$500","$0","$500","Ram Mammadov"
"Fairfax Realty","$500","$0","$500","Ram Mammadov"
"Goat Motors","$500","$0","$500","Ram Mammadov"
"Meridian","$500","$0","$500","Ram Mammadov"
"Phone Repair Center","$500","$0","$500","Ram Mammadov"
"Renaissance","$500","$0","$500","Ram Mammadov"
"Clt Transport","$300","$0","$300","Ram Mammadov"
"Eventbrite","$300","$0","$300","Ram Mammadov"
"Club for Growth","$166673","$0","$166673","Josh Mandel"
"Senate Conservatives Fund","$87898","$5000","$82898","Josh Mandel"
"New York Cancer & Blood Specialists","$40250","$0","$40250","Josh Mandel"
"Duty Free Americas","$17400","$0","$17400","Josh Mandel"
"Transdigm Group","$17400","$0","$17400","Josh Mandel"
"Southern Glazer's Wine & Spirits","$14800","$0","$14800","Josh Mandel"
"Bob Loquercio Auto Group","$13700","$0","$13700","Josh Mandel"
"Minute Men Staffing","$13700","$0","$13700","Josh Mandel"
"Vaughn Industries","$12100","$0","$12100","Josh Mandel"
"Crawford Supply","$11600","$0","$11600","Josh Mandel"
"American Israel Public Affairs Cmte","$24250","$10000","$14250","Tracey Mann"
"Blue Beacon International","$23450","$0","$23450","Tracey Mann"
"Venture Corp (Kansas)","$23200","$0","$23200","Tracey Mann"
"Hy-Plains Feedyard LLC","$16600","$0","$16600","Tracey Mann"
"Brookover Land Ent","$11600","$0","$11600","Tracey Mann"
"Conestoga Energy Partners","$11600","$0","$11600","Tracey Mann"
"Innovative Livestock Services","$11600","$0","$11600","Tracey Mann"
"Reeve Cattle Co","$11600","$0","$11600","Tracey Mann"
"Sporer Land Development","$11600","$0","$11600","Tracey Mann"
"Vess Oil Corp","$11600","$0","$11600","Tracey Mann"
"Mantaro Partners","$250","$0","$250","Chris Manning"
"Urology of New Mexico","$250","$0","$250","Chris Manning"
"American Israel Public Affairs Cmte","$25100","$2100","$23000","Kathy Manning"
"Digidems PAC","$23200","$0","$23200","Kathy Manning"
"Pro-Israel America PAC","$21700","$2500","$19200","Kathy Manning"
"EMILY's List","$16900","$5000","$11900","Kathy Manning"
"New Democrat Coalition","$14900","$10000","$4900","Kathy Manning"
"Frontline USA","$12900","$10000","$2900","Kathy Manning"
"Associated Agencies","$11600","$0","$11600","Kathy Manning"
"Baupost Group","$11600","$0","$11600","Kathy Manning"
"Capital Group Companies","$11600","$0","$11600","Kathy Manning"
"Gelman, Rosenberg & Freedman","$11600","$0","$11600","Kathy Manning"
"Prolifics","$250","$0","$250","Gabi Manolache"
"The Six PAC","$10000","$10000","$0","Derek Marshall"
"Morgan Stanley","$5800","$0","$5800","Derek Marshall"
"Rowena Group","$5800","$0","$5800","Derek Marshall"
"Star Mso","$5800","$0","$5800","Derek Marshall"
"Wild Child","$5800","$0","$5800","Derek Marshall"
"Optum360","$5700","$0","$5700","Derek Marshall"
"Renaissance Technologies","$5700","$0","$5700","Derek Marshall"
"Epitaph","$5400","$0","$5400","Derek Marshall"
"American Federation of State/Cnty/Munic Employees","$5000","$0","$5000","Derek Marshall"
"Pro-Consul Inc","$4800","$0","$4800","Derek Marshall"
"Alphabet Inc","$5800","$0","$5800","Henry Martin"
"K Rowe Investments","$5800","$0","$5800","Henry Martin"
"Commerce Bancshares","$2900","$0","$2900","Henry Martin"
"FedEx Corp","$2500","$0","$2500","Henry Martin"
"Overlook Farm (Missouri)","$1400","$0","$1400","Henry Martin"
"Ryan Specialty Group","$1000","$0","$1000","Henry Martin"
"Stock X LLC","$1000","$0","$1000","Henry Martin"
"Bp","$500","$0","$500","Henry Martin"
"Chote Hall Stewart","$500","$0","$500","Henry Martin"
"Concordia","$500","$0","$500","Henry Martin"
"Lakeside Christian Church","$5800","$0","$5800","Melissa Martz"
"Meridian Capital","$5800","$0","$5800","Melissa Martz"
"Tribe 9 Design","$5800","$0","$5800","Melissa Martz"
"Verizon Communications","$5800","$0","$5800","Melissa Martz"
"G4S plc","$5799","$0","$5799","Melissa Martz"
"Palm Beach County School Distr","$5730","$0","$5730","Melissa Martz"
"Bear Trainer","$5000","$0","$5000","Melissa Martz"
"SAP SE","$3150","$0","$3150","Melissa Martz"
"Angelos Koutsonikolis Md","$2900","$0","$2900","Melissa Martz"
"B12 Store","$2900","$0","$2900","Melissa Martz"
"Sudberry Properties","$18600","$0","$18600","Brian Maryott"
"Highland Political Llc","$15772","$0","$15772","Brian Maryott"
"Rhodes Properties","$14500","$0","$14500","Brian Maryott"
"Gibson, Dunn & Crutcher","$14100","$0","$14100","Brian Maryott"
"Wells Fargo","$12700","$0","$12700","Brian Maryott"
"DWO ENTERPRISES","$11600","$0","$11600","Brian Maryott"
"McDermott & Bull","$11600","$0","$11600","Brian Maryott"
"Sam","$11600","$0","$11600","Brian Maryott"
"Kaiser Aluminum","$11500","$0","$11500","Brian Maryott"
"Barnhart Reese Construction","$10800","$0","$10800","Brian Maryott"
"VoteVets.org","$5000","$5000","$0","Jessica Mason"
"Barrier to Entry PAC","$3900","$3900","$0","Jessica Mason"
"City of Bexley, OH","$2900","$0","$2900","Jessica Mason"
"Falcon Engineering Services","$2900","$0","$2900","Jessica Mason"
"Honor Bound PAC","$2900","$2900","$0","Jessica Mason"
"SPS Studios","$2900","$0","$2900","Jessica Mason"
"Truebill","$2800","$0","$2800","Jessica Mason"
"Thirteen23","$2600","$0","$2600","Jessica Mason"
"Epiq Global","$2500","$0","$2500","Jessica Mason"
"Pay Your Interns PAC","$2500","$2500","$0","Jessica Mason"
"Morning Star Co","$11600","$0","$11600","Thomas Massie"
"Susquehanna International Group","$11600","$0","$11600","Thomas Massie"
"Majority Cmte PAC","$10000","$10000","$0","Thomas Massie"
"Saulsbury Industries","$8700","$0","$8700","Thomas Massie"
"Toyota Motor Corp","$7000","$7000","$0","Thomas Massie"
"Daniel Defense LLC","$5800","$0","$5800","Thomas Massie"
"HBK Capital Management","$5800","$0","$5800","Thomas Massie"
"JW Witten Investments","$5800","$0","$5800","Thomas Massie"
"Keco","$5800","$0","$5800","Thomas Massie"
"L&N Federal Credit Union","$5800","$0","$5800","Thomas Massie"
"American Israel Public Affairs Cmte","$98843","$10000","$88843","Brian Mast"
"Buckley Muething Capital Management","$11600","$0","$11600","Brian Mast"
"Lgl Recycling","$11600","$0","$11600","Brian Mast"
"Noble Properties (Florida)","$11600","$0","$11600","Brian Mast"
"Priderock Capital Partners","$11600","$0","$11600","Brian Mast"
"Trident Capital","$11600","$0","$11600","Brian Mast"
"Atlas Air Worldwide","$10187","$9500","$687","Brian Mast"
"American Bankers Assn","$10000","$10000","$0","Brian Mast"
"Carpenters & Joiners Union","$10000","$10000","$0","Brian Mast"
"Home Depot","$10000","$10000","$0","Brian Mast"
"Democracy Engine","$350025","$0","$350025","Catherine Cortez Masto"
"EMILY's List","$335455","$10000","$325455","Catherine Cortez Masto"
"Votesane PAC","$141000","$0","$141000","Catherine Cortez Masto"
"University of California","$135388","$0","$135388","Catherine Cortez Masto"
"J Street","$124279","$0","$124279","Catherine Cortez Masto"
"Alphabet Inc","$91794","$5000","$86794","Catherine Cortez Masto"
"Apollo Global Management","$60400","$5400","$55000","Catherine Cortez Masto"
"MGM Resorts International","$60213","$10000","$50213","Catherine Cortez Masto"
"Blackstone Group","$55425","$0","$55425","Catherine Cortez Masto"
"University of Nevada","$50738","$0","$50738","Catherine Cortez Masto"
"Archer Auto Group","$5800","$0","$5800","Chris Mathys"
"Cromer Material Handling","$1000","$0","$1000","Chris Mathys"
"Marina Club","$1000","$0","$1000","Chris Mathys"
"Mid Valley Financial","$1000","$0","$1000","Chris Mathys"
"S&S Farming","$1000","$0","$1000","Chris Mathys"
"Tustin Lexus","$1000","$0","$1000","Chris Mathys"
"CA State Legislator","$500","$0","$500","Chris Mathys"
"Cantua Creek Cattle","$500","$0","$500","Chris Mathys"
"Clovis Smog","$500","$0","$500","Chris Mathys"
"Equipment Repair","$500","$0","$500","Chris Mathys"
"DISH Network","$15000","$3400","$11600","Doris Matsui"
"Blue Cross/Blue Shield","$12500","$12500","$0","Doris Matsui"
"Democracy Engine","$11800","$0","$11800","Doris Matsui"
"Intel Corp","$11000","$10000","$1000","Doris Matsui"
"Comcast Corp","$10500","$10000","$500","Doris Matsui"
"Amazon.com","$10000","$10000","$0","Doris Matsui"
"American Crystal Sugar","$10000","$10000","$0","Doris Matsui"
"American Federation of State/Cnty/Munic Employees","$10000","$10000","$0","Doris Matsui"
"American Hospital Assn","$10000","$10000","$0","Doris Matsui"
"AT&T Inc","$10000","$10000","$0","Doris Matsui"
"Mzekewe Ltdco","$3000","$0","$3000","Krystle Matthews"
"K Rowe Investments","$2900","$0","$2900","Krystle Matthews"
"Anastopoulo Law Firm","$2000","$0","$2000","Krystle Matthews"
"Get Right Inc","$2000","$0","$2000","Krystle Matthews"
"Hart Law Firm","$2000","$0","$2000","Krystle Matthews"
"Charleston County School District","$1500","$0","$1500","Krystle Matthews"
"Condon Family Law","$1100","$0","$1100","Krystle Matthews"
"iQor US","$1088","$0","$1088","Krystle Matthews"
"PayPal Inc","$1066","$0","$1066","Krystle Matthews"
"Blue Acorn Ici","$1000","$0","$1000","Krystle Matthews"
"Jersey Mortgage","$5800","$0","$5800","Darius Mayfield"
"Jersey Mortgage Co","$5800","$0","$5800","Darius Mayfield"
"Tree of Life Foundation","$5800","$0","$5800","Darius Mayfield"
"Bristol-Myers Squibb","$5600","$0","$5600","Darius Mayfield"
"Reydel Vw","$3150","$0","$3150","Darius Mayfield"
"Capital Counsel","$2900","$0","$2900","Darius Mayfield"
"Kirke Financial Services","$2900","$0","$2900","Darius Mayfield"
"Ncic Inmate Communications","$2900","$0","$2900","Darius Mayfield"
"Power Monitors","$2900","$0","$2900","Darius Mayfield"
"Societe Generale","$2878","$0","$2878","Darius Mayfield"
"Democracy Engine","$225928","$0","$225928","Lucy McBath"
"EMILY's List","$49863","$10000","$39863","Lucy McBath"
"Emory University","$28855","$0","$28855","Lucy McBath"
"Delta Air Lines","$20255","$0","$20255","Lucy McBath"
"Comcast Corp","$18525","$0","$18525","Lucy McBath"
"Bloomberg Lp","$15725","$0","$15725","Lucy McBath"
"Emerson Collective","$15250","$0","$15250","Lucy McBath"
"New Democrat Coalition","$14900","$10000","$4900","Lucy McBath"
"DLA Piper","$13800","$5000","$8800","Lucy McBath"
"Democratic Congressional Campaign Cmte","$13600","$0","$13600","Lucy McBath"
"Venture Engineering","$2500","$0","$2500","Mark McBride"
"Springer Eubank","$2000","$0","$2000","Mark McBride"
"Stover Co","$2000","$0","$2000","Mark McBride"
"Ravenel Construction","$1500","$0","$1500","Mark McBride"
"Bee Well Pharmacy","$1000","$0","$1000","Mark McBride"
"Maguire Products","$1000","$0","$1000","Mark McBride"
"Southeastern General Contracti","$1000","$0","$1000","Mark McBride"
"Pencor Services","$600","$0","$600","Mark McBride"
"Pursecarerx","$500","$0","$500","Mark McBride"
"Strand Supply","$500","$0","$500","Mark McBride"
"Enterprise Products Partners","$49200","$0","$49200","Kevin McCarthy"
"Comcast Corp","$40600","$10000","$30600","Kevin McCarthy"
"Altria Group","$34400","$10000","$24400","Kevin McCarthy"
"Rock Holdings","$33200","$10000","$23200","Kevin McCarthy"
"Omnicom Group","$27800","$0","$27800","Kevin McCarthy"
"ConocoPhillips","$25800","$10000","$15800","Kevin McCarthy"
"Amgen Inc","$22000","$5000","$17000","Kevin McCarthy"
"Kirkland & Ellis","$21800","$0","$21800","Kevin McCarthy"
"Federated Investors Inc","$21600","$0","$21600","Kevin McCarthy"
"Harbinger Strategies","$20900","$0","$20900","Kevin McCarthy"
"Democracy Engine","$56850","$0","$56850","Michael McCaul"
"Bergen Pain Management","$14600","$0","$14600","Michael McCaul"
"Heritage Title Co of Austin","$14500","$0","$14500","Michael McCaul"
"Akin, Gump et al","$13750","$5500","$8250","Michael McCaul"
"Founders Fund","$11600","$0","$11600","Michael McCaul"
"Marcus Foundation","$11600","$0","$11600","Michael McCaul"
"Quik Drugs Pharmacy","$11600","$0","$11600","Michael McCaul"
"Western National Group","$11600","$0","$11600","Michael McCaul"
"Patriot Insurance (Texas)","$11598","$0","$11598","Michael McCaul"
"Bennett Ventures","$11200","$0","$11200","Michael McCaul"
"Hantz Group","$14700","$0","$14700","Lisa McClain"
"Rock Holdings","$12500","$10000","$2500","Lisa McClain"
"Highland Engineering","$11200","$0","$11200","Lisa McClain"
"American Israel Public Affairs Cmte","$10000","$10000","$0","Lisa McClain"
"Boeing Co","$10000","$10000","$0","Lisa McClain"
"Council of Insurance Agents & Brokers","$10000","$10000","$0","Lisa McClain"
"Credit Union National Assn","$10000","$10000","$0","Lisa McClain"
"E-PAC","$10000","$10000","$0","Lisa McClain"
"Eye of the Tiger PAC","$10000","$10000","$0","Lisa McClain"
"Great Lakes Sugar Beet Growers Assn","$10000","$10000","$0","Lisa McClain"
"Akt Development","$17400","$0","$17400","Tom McClintock"
"American Israel Public Affairs Cmte","$12400","$7900","$4500","Tom McClintock"
"Armour Properties","$11600","$0","$11600","Tom McClintock"
"Dimensional Fund Advisors","$11600","$0","$11600","Tom McClintock"
"Marcus Foundation","$11600","$0","$11600","Tom McClintock"
"Quest Technology","$11600","$0","$11600","Tom McClintock"
"Standard Industries","$11600","$0","$11600","Tom McClintock"
"Western National Group","$11600","$0","$11600","Tom McClintock"
"Credit Union National Assn","$10000","$10000","$0","Tom McClintock"
"Eureka PAC","$10000","$10000","$0","Tom McClintock"
"Basis Educational Group","$5800","$0","$5800","Mark McCloskey"
"Gully Transportation","$5800","$0","$5800","Mark McCloskey"
"Parklane","$4000","$0","$4000","Mark McCloskey"
"Gateway Outdoor Advertising","$3900","$0","$3900","Mark McCloskey"
"Comm'L Real Estate Bkr","$2900","$0","$2900","Mark McCloskey"
"Content Developer","$2900","$0","$2900","Mark McCloskey"
"Dobbs Tire & Auto Centers","$2900","$0","$2900","Mark McCloskey"
"England Police Dept","$2900","$0","$2900","Mark McCloskey"
"Global Rescue","$2900","$0","$2900","Mark McCloskey"
"Industrail Real Estate","$2900","$0","$2900","Mark McCloskey"
"Heartland Realty Investors","$34800","$0","$34800","Betty McCollum"
"General Dynamics","$34000","$10000","$24000","Betty McCollum"
"General Atomics","$27900","$15000","$12900","Betty McCollum"
"Boeing Co","$25700","$10000","$15700","Betty McCollum"
"Van Scoyoc Assoc","$15873","$1673","$14200","Betty McCollum"
"Kaplan, Strangis & Kaplan","$14500","$0","$14500","Betty McCollum"
"Starkey Hearing Technologies","$14000","$0","$14000","Betty McCollum"
"3M Co","$13325","$7500","$5825","Betty McCollum"
"University Of Minnesota","$12100","$0","$12100","Betty McCollum"
"Ansys Inc","$11600","$0","$11600","Betty McCollum"
"DaVita Inc","$5600","$0","$5600","Ike McCorkle"
"K Rowe Investments","$2900","$0","$2900","Ike McCorkle"
"IBM Corp","$2000","$0","$2000","Ike McCorkle"
"Hendrickson Construction","$1858","$0","$1858","Ike McCorkle"
"Chevron Corp","$1552","$0","$1552","Ike McCorkle"
"Civhc","$1500","$0","$1500","Ike McCorkle"
"Asi Datamyte","$1000","$0","$1000","Ike McCorkle"
"Charleston Law School","$1000","$0","$1000","Ike McCorkle"
"Hendler Flores Law","$1000","$0","$1000","Ike McCorkle"
"Van Wagner Communications","$1000","$0","$1000","Ike McCorkle"
"Common Practice LLC","$5800","$0","$5800","Holly McCormack"
"MongoDB Inc","$5800","$0","$5800","Holly McCormack"
