"Contributor","Total","PACs","Individuals","Senator"
"American Postal Workers Union","$10000","$10000","$0","Alma Adams"
"AT&T Inc","$10000","$10000","$0","Alma Adams"
"Home Depot","$10000","$10000","$0","Alma Adams"
"McWane Inc","$22900","$0","$22900","Robert B Aderholt"
"Drummond Co","$17000","$10000","$7000","Robert B Aderholt"
"Maynard, Cooper & Gale","$16000","$10000","$6000","Robert B Aderholt"
"General Atomics","$15800","$10000","$5800","Robert B Aderholt"
"Parker Towing","$13200","$0","$13200","Robert B Aderholt"
"Dai-Ichi Life","$12500","$10000","$2500","Robert B Aderholt"
"Southern Co","$12500","$10000","$2500","Robert B Aderholt"
"Sierra Nevada Corp","$11800","$5000","$6800","Robert B Aderholt"
"Hunt Companies","$11600","$0","$11600","Robert B Aderholt"
"Honeywell International","$11557","$10000","$1557","Robert B Aderholt"
"Herzog","$82500","$10000","$72500","Amanda Adkins"
"Lockton Companies","$36650","$0","$36650","Amanda Adkins"
"Value Health Inc","$35000","$0","$35000","Amanda Adkins"
"Nueterra Capital","$33400","$0","$33400","Amanda Adkins"
"Ecco Select","$26500","$0","$26500","Amanda Adkins"
"Kiewit Corp","$22900","$0","$22900","Amanda Adkins"
"Cohen-Esrey Real Estate Services","$22800","$0","$22800","Amanda Adkins"
"Oracle Corp","$22050","$0","$22050","Amanda Adkins"
"Crossland Construction","$20300","$0","$20300","Amanda Adkins"
"Tifec LLC","$20300","$0","$20300","Amanda Adkins"
"Supporting Electing American Leaders","$5000","$5000","$0","Erick Aguilar"
"Cessna Communications","$1672","$0","$1672","Erick Aguilar"
"Pre-3","$1425","$0","$1425","Erick Aguilar"
"Hyundai Motor America","$1416","$0","$1416","Erick Aguilar"
"Baymont Inn Suites","$1365","$0","$1365","Erick Aguilar"
"Regenesis Biomedical","$1354","$0","$1354","Erick Aguilar"
"Horse Boarding","$1218","$0","$1218","Erick Aguilar"
"Wholistic Health Coach","$1160","$0","$1160","Erick Aguilar"
"Andrew Farms","$1105","$0","$1105","Erick Aguilar"
"Project Management Consultant","$1084","$0","$1084","Erick Aguilar"
"Votesane PAC","$55000","$0","$55000","Pete Aguilar"
"American Israel Public Affairs Cmte","$31800","$7900","$23900","Pete Aguilar"
"Gentex","$27200","$10000","$17200","Pete Aguilar"
"Comcast Corp","$21850","$10000","$11850","Pete Aguilar"
"Rock Holdings","$19000","$9000","$10000","Pete Aguilar"
"Microsoft Corp","$15600","$10000","$5600","Pete Aguilar"
"Blue Cross/Blue Shield","$15000","$15000","$0","Pete Aguilar"
"General Atomics","$14000","$10000","$4000","Pete Aguilar"
"Telacu","$13700","$0","$13700","Pete Aguilar"
"Gentex Corp","$13200","$0","$13200","Pete Aguilar"
"Sahara","$17400","$0","$17400","Junaid Ahmed"
"Amazon.com","$14750","$0","$14750","Junaid Ahmed"
"Microsoft Corp","$12900","$0","$12900","Junaid Ahmed"
"Advocate Aurora Health","$11750","$0","$11750","Junaid Ahmed"
"Bofa","$9850","$0","$9850","Junaid Ahmed"
"Accenture","$9800","$0","$9800","Junaid Ahmed"
"Abbvie Inc","$9450","$0","$9450","Junaid Ahmed"
"Dysis","$9000","$0","$9000","Junaid Ahmed"
"Hyline Dental","$8500","$0","$8500","Junaid Ahmed"
"Mansoor Pediatrics","$8500","$0","$8500","Junaid Ahmed"
"The Majority Rules","$10000","$10000","$0","Timothy C Alexander"
"Baupost Group","$5800","$0","$5800","Timothy C Alexander"
"Breakthru Beverage Group","$5800","$0","$5800","Timothy C Alexander"
"Intelligent Communication Systems","$5800","$0","$5800","Timothy C Alexander"
"Intermediate Capital Group","$5800","$0","$5800","Timothy C Alexander"
"Always Best Care","$5000","$0","$5000","Timothy C Alexander"
"DRD Consulting","$5000","$0","$5000","Timothy C Alexander"
"UNITE HERE","$5000","$5000","$0","Timothy C Alexander"
"United Food & Commercial Workers Union","$5000","$5000","$0","Timothy C Alexander"
"Tuckahoe Brewery","$4500","$0","$4500","Timothy C Alexander"
"Black Rifle Coffee","$5800","$0","$5800","Graham Allen"
"Buff Enterprises","$5800","$0","$5800","Graham Allen"
"Rapid Loop Consulting LLC","$5800","$0","$5800","Graham Allen"
"X Strategies","$5800","$0","$5800","Graham Allen"
"Hughes Investments (South Carolina)","$3000","$0","$3000","Graham Allen"
"Blair Florida LLC","$2900","$0","$2900","Graham Allen"
"De Groote Financial Group","$2900","$0","$2900","Graham Allen"
"Federal Savings Bank","$2900","$0","$2900","Graham Allen"
"Firearms","$2900","$0","$2900","Graham Allen"
"Hjr Global","$2900","$0","$2900","Graham Allen"
"Pollard Lumber","$17400","$0","$17400","Richard W Allen"
"MAU Workforce Solutions","$11600","$0","$11600","Richard W Allen"
"Yancey Brothers","$11600","$0","$11600","Richard W Allen"
"Home Depot","$10500","$10000","$500","Richard W Allen"
"AFLAC Inc","$10000","$10000","$0","Richard W Allen"
"American Crystal Sugar","$10000","$10000","$0","Richard W Allen"
"Majority Cmte PAC","$10000","$10000","$0","Richard W Allen"
"National Assn of Realtors","$10000","$10000","$0","Richard W Allen"
"National Auto Dealers Assn","$10000","$10000","$0","Richard W Allen"
"National Chicken Council","$10000","$10000","$0","Richard W Allen"
"Esquire Litigation Group","$2600","$0","$2600","Tammy Allison"
"Black Girl Magic Museum LLC","$1000","$0","$1000","Tammy Allison"
"Hamumu Games","$1000","$0","$1000","Tammy Allison"
"Twitter","$1000","$0","$1000","Tammy Allison"
"Tarrant County, TX","$512","$0","$512","Tammy Allison"
"Bocarsly Emden","$500","$0","$500","Tammy Allison"
"Circuit Court for Baltimore Ci","$500","$0","$500","Tammy Allison"
"Southern Co","$500","$0","$500","Tammy Allison"
"Vertz","$412","$0","$412","Tammy Allison"
"State of Texas","$212","$0","$212","Tammy Allison"
"Democracy Engine","$39600","$0","$39600","Colin Allred"
"J Street","$20500","$0","$20500","Colin Allred"
"University of Texas","$18850","$0","$18850","Colin Allred"
"American Israel Public Affairs Cmte","$18400","$5000","$13400","Colin Allred"
"American Airlines Group","$16300","$0","$16300","Colin Allred"
"Jones Day","$14308","$0","$14308","Colin Allred"
"Akin, Gump et al","$12650","$3250","$9400","Colin Allred"
"Frontline USA","$12385","$5000","$7385","Colin Allred"
"Perkins Coie","$11700","$0","$11700","Colin Allred"
"Dorchester Minerals","$11600","$0","$11600","Colin Allred"
"Southern New Hampshire University","$2450","$0","$2450","Bruno Amato"
"Bcps.Org","$1550","$0","$1550","Bruno Amato"
"Noramax Productions","$1410","$0","$1410","Bruno Amato"
"Collinear Networks","$1000","$0","$1000","Bruno Amato"
"Prime Lube","$1000","$0","$1000","Bruno Amato"
"Vista Equity Partners","$825","$0","$825","Bruno Amato"
"Kantor Law Firm","$500","$0","$500","Bruno Amato"
"Neena'S Boy","$500","$0","$500","Bruno Amato"
"Southern California Permanente Medical Group","$500","$0","$500","Bruno Amato"
"Succulent Studios","$500","$0","$500","Bruno Amato"
"Sierra Nevada Corp","$17800","$10000","$7800","Mark Amodei"
"Honeywell International","$15800","$10000","$5800","Mark Amodei"
"ClearPath Foundation","$11600","$0","$11600","Mark Amodei"
"Peak Capital","$11600","$0","$11600","Mark Amodei"
"Peppermill Casinos","$11600","$0","$11600","Mark Amodei"
"South Point Hotel & Casino","$11200","$0","$11200","Mark Amodei"
"American Society of Anesthesiologists","$10000","$8500","$1500","Mark Amodei"
"AT&T Inc","$10000","$10000","$0","Mark Amodei"
"BlackRock Inc","$10000","$10000","$0","Mark Amodei"
"Eye of the Tiger PAC","$10000","$10000","$0","Mark Amodei"
"Nationsroot Inc","$2900","$0","$2900","Manga Anantatmula"
"Prime Solution","$2900","$0","$2900","Manga Anantatmula"
"Ramoco Fuels","$2900","$0","$2900","Manga Anantatmula"
"University of North Carolina","$2900","$0","$2900","Manga Anantatmula"
"Granuals Pharmaceuticals","$2500","$0","$2500","Manga Anantatmula"
"Sentinel PAC","$1000","$1000","$0","Manga Anantatmula"
"Shipays Inn","$1000","$0","$1000","Manga Anantatmula"
"ASCII Group","$500","$0","$500","Manga Anantatmula"
"Rwg America","$500","$0","$500","Manga Anantatmula"
"Potomac Urology","$251","$0","$251","Manga Anantatmula"
"I Home Reality","$250","$0","$250","David Jr Anderson"
"Oak View Group","$250","$0","$250","David Jr Anderson"
"Cleveland Clinic","$2072","$0","$2072","Sylvester Jr Ani"
"La Care","$1600","$0","$1600","Sylvester Jr Ani"
"Growth Accelerators LLC","$1036","$0","$1036","Sylvester Jr Ani"
"Carson Healthcare Services LLC","$1000","$0","$1000","Sylvester Jr Ani"
"Nom","$622","$0","$622","Sylvester Jr Ani"
"City of Norwalk","$518","$0","$518","Sylvester Jr Ani"
"Kaiser Permanente","$500","$0","$500","Sylvester Jr Ani"
"Los Angeles Unified School District","$500","$0","$500","Sylvester Jr Ani"
"University of California","$500","$0","$500","Sylvester Jr Ani"
"Decolonial Educator","$400","$0","$400","Sylvester Jr Ani"
"Prs Inc","$5800","$0","$5800","Eddy Aragon"
"Bladewerx","$1000","$0","$1000","Eddy Aragon"
"Ga Brunacini Construction Co","$1000","$0","$1000","Eddy Aragon"
"Advantage Homes","$500","$0","$500","Eddy Aragon"
"Business Environments","$500","$0","$500","Eddy Aragon"
"Unmh","$500","$0","$500","Eddy Aragon"
"Defeat Republicans PAC","$15000","$15000","$0","Phil Arballo"
"Maryvale Preparatory Academy","$11600","$0","$11600","Phil Arballo"
"Meta","$11600","$0","$11600","Phil Arballo"
"University of California","$8875","$0","$8875","Phil Arballo"
"AXA","$5800","$0","$5800","Phil Arballo"
"Bain Capital","$5800","$0","$5800","Phil Arballo"
"County Bank","$5800","$0","$5800","Phil Arballo"
"McKinsey & Co","$5800","$0","$5800","Phil Arballo"
"Mickles Enterprises","$5800","$0","$5800","Phil Arballo"
"Nms Property Services","$5800","$0","$5800","Phil Arballo"
"Miramar Capital","$2900","$0","$2900","Chelsea Ardoin"
"Broussard Group","$500","$0","$500","Chelsea Ardoin"
"Johnson Law Firm","$300","$0","$300","Chelsea Ardoin"
"Ryleigh LLC","$250","$0","$250","Chelsea Ardoin"
"EMILY's List","$91315","$5000","$86315","Val Arkoosh"
"University of Pennsylvania","$35775","$0","$35775","Val Arkoosh"
"Drexel University","$17900","$0","$17900","Val Arkoosh"
"Jefferson Health System","$11350","$0","$11350","Val Arkoosh"
"Manko, Gold et al","$10798","$0","$10798","Val Arkoosh"
"Temple University","$10390","$0","$10390","Val Arkoosh"
"Stanford University","$10100","$0","$10100","Val Arkoosh"
"Rmk Assoc","$8700","$0","$8700","Val Arkoosh"
"Tsci LLC","$8700","$0","$8700","Val Arkoosh"
"American Society of Anesthesiologists","$8500","$7500","$1000","Val Arkoosh"
"Huck PAC","$10000","$10000","$0","Irene Armendariz-Jackson"
"T&T Staff Management","$5800","$0","$5800","Irene Armendariz-Jackson"
"Development Services LLC","$2900","$0","$2900","Irene Armendariz-Jackson"
"Nolan Capital (Texas)","$2900","$0","$2900","Irene Armendariz-Jackson"
"Pedraza Chb","$2900","$0","$2900","Irene Armendariz-Jackson"
"American One Source","$2500","$0","$2500","Irene Armendariz-Jackson"
"Avm","$1860","$0","$1860","Irene Armendariz-Jackson"
"No Info","$1140","$0","$1140","Irene Armendariz-Jackson"
"No Info Given","$1064","$0","$1064","Irene Armendariz-Jackson"
"Jackson Walker LLP","$1043","$0","$1043","Irene Armendariz-Jackson"
"NACCO Industries","$20700","$12500","$8200","Kelly Armstrong"
"Microsoft Corp","$13800","$10000","$3800","Kelly Armstrong"
"Continental Resources","$13700","$5000","$8700","Kelly Armstrong"
"Hess Corp","$12000","$10000","$2000","Kelly Armstrong"
"Cerberus Capital Management","$11600","$0","$11600","Kelly Armstrong"
"Corwin Auto","$11600","$0","$11600","Kelly Armstrong"
"Jordahl Custom Homes","$11600","$0","$11600","Kelly Armstrong"
"Blue Cross/Blue Shield","$11250","$11000","$250","Kelly Armstrong"
"North Dakota Petroleum Council","$10500","$10000","$500","Kelly Armstrong"
"United Energy","$10500","$0","$10500","Kelly Armstrong"
"Caprock Cardiovascular Center","$11600","$0","$11600","Jodey Arrington"
"Hunt Companies","$11600","$0","$11600","Jodey Arrington"
"American Hospital Assn","$11500","$8500","$3000","Jodey Arrington"
"Illumina Inc","$10900","$7900","$3000","Jodey Arrington"
"AT&T Inc","$10000","$10000","$0","Jodey Arrington"
"Exxon Mobil","$10000","$10000","$0","Jodey Arrington"
"Eye of the Tiger PAC","$10000","$10000","$0","Jodey Arrington"
"Farm Credit Council","$10000","$10000","$0","Jodey Arrington"
"Hbc Investments","$10000","$0","$10000","Jodey Arrington"
"Koch Industries","$10000","$10000","$0","Jodey Arrington"
"Marmac","$1500","$0","$1500","Barbara Arthur"
"Cash, Donations","$1280","$0","$1280","Barbara Arthur"
"Arcadian Risk Managers","$1000","$0","$1000","Barbara Arthur"
"Furr Grading & Paving","$1000","$0","$1000","Barbara Arthur"
"New Generations Adult Day Cent","$1000","$0","$1000","Barbara Arthur"
"Sherman Family Investments","$1000","$0","$1000","Barbara Arthur"
"Victors","$1000","$0","$1000","Barbara Arthur"
"Vipkid","$1000","$0","$1000","Barbara Arthur"
"Watts & Assoc","$1000","$0","$1000","Barbara Arthur"
"Ace Hardware","$500","$0","$500","Barbara Arthur"
"American Israel Public Affairs Cmte","$81450","$10000","$71450","Jake Auchincloss"
"Bain Capital","$47000","$0","$47000","Jake Auchincloss"
"Blackstone Group","$37700","$0","$37700","Jake Auchincloss"
"Harvard University","$34850","$0","$34850","Jake Auchincloss"
"Mass General Brigham","$29320","$0","$29320","Jake Auchincloss"
"Elliott Management","$26780","$0","$26780","Jake Auchincloss"
"Apollo Global Management","$26000","$0","$26000","Jake Auchincloss"
"Berkshire Partners","$23200","$0","$23200","Jake Auchincloss"
"General Catalyst Partners","$23200","$0","$23200","Jake Auchincloss"
"Great Hill Partners","$23200","$0","$23200","Jake Auchincloss"
"Democracy Engine","$151552","$0","$151552","Cindy Axne"
"EMILY's List","$59988","$10000","$49988","Cindy Axne"
"Votesane PAC","$41500","$0","$41500","Cindy Axne"
"J Street","$39632","$0","$39632","Cindy Axne"
"Frontline USA","$35285","$7500","$27785","Cindy Axne"
"Apollo Global Management","$26630","$0","$26630","Cindy Axne"
"Alphabet Inc","$25472","$0","$25472","Cindy Axne"
"Democratic Congressional Campaign Cmte","$24679","$0","$24679","Cindy Axne"
"American Israel Public Affairs Cmte","$20400","$7900","$12500","Cindy Axne"
"University of Iowa","$19209","$0","$19209","Cindy Axne"
"Simply Good Foods Co","$2900","$0","$2900","Andy Baan"
"Aimco","$2800","$0","$2800","Andy Baan"
"Leadership Institute","$2800","$0","$2800","Andy Baan"
"Jo-Kell Inc","$1500","$0","$1500","Andy Baan"
"Avmac LLC","$1250","$0","$1250","Andy Baan"
"Non-Wage Owner","$1250","$0","$1250","Andy Baan"
"Classic Books of Virginia","$1000","$0","$1000","Andy Baan"
"Mark Flaherty Consulting LLC","$500","$0","$500","Andy Baan"
"Edgewater Assoc","$250","$0","$250","Andy Baan"
"Mapping Solutions LLC","$250","$0","$250","Andy Baan"
"Trans-Global Solutions","$17400","$0","$17400","Brian Babin"
"Modern Group (Texas)","$14500","$0","$14500","Brian Babin"
"Bestway Oilfield","$11600","$0","$11600","Brian Babin"
"Nash Group","$11600","$0","$11600","Brian Babin"
"American Dental Assn","$11250","$10000","$1250","Brian Babin"
"American Academy of Pediatric Dentistry","$10000","$10000","$0","Brian Babin"
"American Assn of Orthodontists","$10000","$10000","$0","Brian Babin"
"American Assn/Oral & Maxillofacial Surg","$10000","$10000","$0","Brian Babin"
"American Crystal Sugar","$10000","$10000","$0","Brian Babin"
"Honeywell International","$10000","$10000","$0","Brian Babin"
"No Labels","$312483","$5000","$307483","Donald John Bacon"
"Tenaska Energy","$40950","$10000","$30950","Donald John Bacon"
"Pro-Israel America PAC","$28050","$6000","$22050","Donald John Bacon"
"Kiewit Corp","$22800","$0","$22800","Donald John Bacon"
"Hawkins Construction","$17800","$0","$17800","Donald John Bacon"
"Sierra Nevada Corp","$16600","$5000","$11600","Donald John Bacon"
"BAE Systems","$16500","$10000","$6500","Donald John Bacon"
"Marine Engineers Beneficial Assn","$15500","$15500","$0","Donald John Bacon"
"National Cattlemen's Beef Assn","$15400","$10000","$5400","Donald John Bacon"
"American Israel Public Affairs Cmte","$15310","$2100","$13210","Donald John Bacon"
"Total Wireless","$505","$0","$505","Youseff Baddar"
"Greenbelt Auto Parts","$500","$0","$500","Youseff Baddar"
"Mercy Health (Michigan)","$500","$0","$500","Youseff Baddar"
"Flick'S Package Liquor","$280","$0","$280","Youseff Baddar"
"Flyght","$250","$0","$250","Youseff Baddar"
"Toledo Clinic","$250","$0","$250","Youseff Baddar"
"Woodcrest School","$250","$0","$250","Youseff Baddar"
"Friends for Life Residential","$175","$0","$175","Youseff Baddar"
"Domino's Pizza","$115","$0","$115","Youseff Baddar"
"Metro Vein Centers","$100","$0","$100","Youseff Baddar"
"K Rowe Investments","$2900","$0","$2900","Kathleen Cordelia Bailey"
"I-Group Llc","$2800","$0","$2800","Kathleen Cordelia Bailey"
"Carol Crabtree Donovan Pc","$1700","$0","$1700","Kathleen Cordelia Bailey"
"Workingbuildings LLC","$1500","$0","$1500","Kathleen Cordelia Bailey"
"Hason Hosp","$1000","$0","$1000","Kathleen Cordelia Bailey"
"Kastl Law","$750","$0","$750","Kathleen Cordelia Bailey"
"Bloomberg LP","$500","$0","$500","Kathleen Cordelia Bailey"
"Ebby Halliday Realtors","$500","$0","$500","Kathleen Cordelia Bailey"
"Geary, Porter & Donovan","$343","$0","$343","Kathleen Cordelia Bailey"
"Entertainment Partners","$300","$0","$300","Kathleen Cordelia Bailey"
"Farm Credit Council","$10000","$10000","$0","Jim Baird"
"Majority Cmte PAC","$10000","$10000","$0","Jim Baird"
"Barnes & Thornburg","$9900","$1000","$8900","Jim Baird"
"Gaylor Electric","$8300","$0","$8300","Jim Baird"
"American Israel Public Affairs Cmte","$7900","$7900","$0","Jim Baird"
"Ice Miller LLP","$6250","$5000","$1250","Jim Baird"
"American Bankers Assn","$6000","$6000","$0","Jim Baird"
"AT&T Inc","$6000","$6000","$0","Jim Baird"
"National Assn of Realtors","$6000","$6000","$0","Jim Baird"
"Nicoson Farms","$5900","$0","$5900","Jim Baird"
"Farm Credit Council","$10000","$10000","$0","Jim Baird"
"Majority Cmte PAC","$10000","$10000","$0","Jim Baird"
"Barnes & Thornburg","$9900","$1000","$8900","Jim Baird"
"Gaylor Electric","$8300","$0","$8300","Jim Baird"
"American Israel Public Affairs Cmte","$7900","$7900","$0","Jim Baird"
"Ice Miller LLP","$6250","$5000","$1250","Jim Baird"
"American Bankers Assn","$6000","$6000","$0","Jim Baird"
"AT&T Inc","$6000","$6000","$0","Jim Baird"
"National Assn of Realtors","$6000","$6000","$0","Jim Baird"
"Nicoson Farms","$5900","$0","$5900","Jim Baird"
"Shelly & Sands","$17400","$0","$17400","Troy Balderson"
"Nationwide","$16850","$10000","$6850","Troy Balderson"
"Blue Cross/Blue Shield","$13000","$13000","$0","Troy Balderson"
"Champion Companies","$11600","$0","$11600","Troy Balderson"
"Fisher Investments","$11600","$0","$11600","Troy Balderson"
"Marcus Foundation","$11600","$0","$11600","Troy Balderson"
"Western National Group","$11600","$0","$11600","Troy Balderson"
"Abbott Laboratories","$10500","$10000","$500","Troy Balderson"
"American Bankers Assn","$10500","$10500","$0","Troy Balderson"
"Huntington Bancshares","$10300","$10000","$300","Troy Balderson"
"Blackstone Group","$20300","$0","$20300","Jim Banks"
"American Israel Public Affairs Cmte","$19800","$7900","$11900","Jim Banks"
"MacAndrews & Forbes","$18550","$10000","$8550","Jim Banks"
"Deister Machine Co","$11600","$0","$11600","Jim Banks"
"Glenbrook Dodge Chrysler Jeep","$11600","$0","$11600","Jim Banks"
"Uline Inc","$11600","$0","$11600","Jim Banks"
"Boeing Co","$11000","$9000","$2000","Jim Banks"
"Ultra Electronics","$10750","$10000","$750","Jim Banks"
"Kirkland & Ellis","$10500","$0","$10500","Jim Banks"
"American Bankers Assn","$10250","$10000","$250","Jim Banks"
"K Rowe Investments","$5800","$0","$5800","Cindy Banyai"
"Zimmer Biomet","$2900","$0","$2900","Cindy Banyai"
"No Dem Left Behind PAC","$2500","$2500","$0","Cindy Banyai"
"Women United for Florida Families","$2005","$2005","$0","Cindy Banyai"
"American Federation of School Administrators","$1700","$0","$1700","Cindy Banyai"
"Center for Sight (New York)","$1025","$0","$1025","Cindy Banyai"
"Cumberland Advisors","$1000","$0","$1000","Cindy Banyai"
"Dewberry","$1000","$0","$1000","Cindy Banyai"
"Everytown for Gun Safety","$1000","$1000","$0","Cindy Banyai"
"Edison Ford Winter Estates","$700","$0","$700","Cindy Banyai"
"Weber State University","$300","$0","$300","Evan Barlow"
"Jones Day","$2800","$0","$2800","John Barnes"
"Ready Rock Trucking","$500","$0","$500","John Barnes"
"Harvard University","$250","$0","$250","John Barnes"
"Landscapers Supply of Greenville","$25000","$0","$25000","Kathy Barnette"
"Construction Dynamics","$11600","$0","$11600","Kathy Barnette"
"Rose Ellis LLC","$9300","$0","$9300","Kathy Barnette"
"H&K Group","$9200","$0","$9200","Kathy Barnette"
"Creative Solutions In Healthcare","$8700","$0","$8700","Kathy Barnette"
"Martins Famous Pastry Shoppe","$8700","$0","$8700","Kathy Barnette"
"Newtown Athletic Club","$8700","$0","$8700","Kathy Barnette"
"Rti Insurance Service","$8700","$0","$8700","Kathy Barnette"
"Icona","$8400","$0","$8400","Kathy Barnette"
"Dunlap & Kyle","$7000","$0","$7000","Kathy Barnette"
"Apollo Global Management","$29402","$5400","$24002","Andy Barr"
"Rock Holdings","$22000","$10000","$12000","Andy Barr"
"B Riley Financial","$20300","$0","$20300","Andy Barr"
"Blackstone Group","$20300","$0","$20300","Andy Barr"
"Alliance Resource Partners","$19900","$0","$19900","Andy Barr"
"Mt Brilliant Farm","$17400","$0","$17400","Andy Barr"
"Forcht Group of Kentucky","$16600","$0","$16600","Andy Barr"
"Goldman Sachs","$16000","$6000","$10000","Andy Barr"
"Northwestern Mutual","$15713","$10000","$5713","Andy Barr"
"Greer Companies","$14400","$0","$14400","Andy Barr"
"Syfan Logistics","$12500","$0","$12500","Timothy Barr"
"State of Georgia","$9700","$0","$9700","Timothy Barr"
"Kitchen & Bath Design Group","$7050","$0","$7050","Timothy Barr"
"Reach Technologies","$6300","$0","$6300","Timothy Barr"
"Corcoran Partners","$5800","$0","$5800","Timothy Barr"
"Dpr Construction","$5800","$0","$5800","Timothy Barr"
"Glasstech Services","$5800","$0","$5800","Timothy Barr"
"Juzyk Construction","$5800","$0","$5800","Timothy Barr"
"Prime Retail Services","$5800","$0","$5800","Timothy Barr"
"Progressive Realty LLC","$5800","$0","$5800","Timothy Barr"
"American Israel Public Affairs Cmte","$38350","$2100","$36250","Nanette Barragan"
"Buchanan, Ingersoll & Rooney","$11600","$0","$11600","Nanette Barragan"
"American Crystal Sugar","$10000","$10000","$0","Nanette Barragan"
"American Federation of State/Cnty/Munic Employees","$10000","$10000","$0","Nanette Barragan"
"Carpenters & Joiners Union","$10000","$10000","$0","Nanette Barragan"
"Edison International","$10000","$10000","$0","Nanette Barragan"
"Honeywell International","$10000","$10000","$0","Nanette Barragan"
"Machinists/Aerospace Workers Union","$10000","$10000","$0","Nanette Barragan"
"National Union of Healthcare Workers","$10000","$10000","$0","Nanette Barragan"
"Operating Engineers Union","$10000","$10000","$0","Nanette Barragan"
"Penn Entertainment","$5000","$5000","$0","Jeff Bartos"
"Duane Morris LLP","$4000","$4000","$0","Jeff Bartos"
"Essential Utilities Inc","$2000","$2000","$0","Jeff Bartos"
"Govern PAC","$1000","$1000","$0","Jeff Bartos"
"H&R Block","$5775","$0","$5775","Gary Barve"
"J Street","$10700","$1500","$9200","Karen Bass"
"Comcast Corp","$8300","$2500","$5800","Karen Bass"
"Bad Robot Productions","$6800","$0","$6800","Karen Bass"
"University of California","$5962","$0","$5962","Karen Bass"
"Amblin Partners","$5800","$0","$5800","Karen Bass"
"AMD Homes","$5800","$0","$5800","Karen Bass"
"Buchanan, Ingersoll & Rooney","$5800","$0","$5800","Karen Bass"
"Children's Research & Education Institute","$5800","$0","$5800","Karen Bass"
"Cordoba Corp","$5800","$0","$5800","Karen Bass"
"Democracy Engine","$5800","$0","$5800","Karen Bass"
"University of Wisconsin","$8867","$0","$8867","Gillian Battino"
"Marshfield Clinic","$8683","$0","$8683","Gillian Battino"
"ThedaCare Health System","$3050","$0","$3050","Gillian Battino"
"Uw Health","$3000","$0","$3000","Gillian Battino"
"King Co","$2900","$0","$2900","Gillian Battino"
"Marsh Field Medical System","$2900","$0","$2900","Gillian Battino"
"Mod Gen","$2900","$0","$2900","Gillian Battino"
"Central Wisconsin Anesthesiology","$2500","$0","$2500","Gillian Battino"
"California Public Employees' Retirement System","$2200","$0","$2200","Gillian Battino"
"Mayo Clinic Health System","$2000","$0","$2000","Gillian Battino"
"University of Pennsylvania Health System","$11950","$0","$11950","Kevin Baumlin"
"Goldman Sachs","$5800","$0","$5800","Kevin Baumlin"
"JPMorgan Chase & Co","$5800","$0","$5800","Kevin Baumlin"
"Mount Sinai Health System","$5150","$0","$5150","Kevin Baumlin"
"Conklin Enterprises","$2900","$0","$2900","Kevin Baumlin"
"Intelligent Communication Systems","$2900","$0","$2900","Kevin Baumlin"
"Ubs","$2800","$0","$2800","Kevin Baumlin"
